user,location,tweet,Date,Tweet Coordinates
RamKuma19784093,Puducherry,"India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
https://t.co/bgIUtUuK7L… https://t.co/976Yp85hKk",2021-01-10 06:52:00,
Chinasceptic,EU,RT @sehof: The damage Trump and Pompeo have done to America’s alliances is mainly located in Europe. The author has a point that things in…,2021-01-10 06:51:05,
JHallHDI,UK,RT @sehof: The damage Trump and Pompeo have done to America’s alliances is mainly located in Europe. The author has a point that things in…,2021-01-10 06:50:25,
Vineet_AHC,"New Delhi, India",RT @AusHCIndia: Have you applied for the Australia-India Cyber &amp; Critical Technology Partnership? Help shape a global technology environmen…,2021-01-10 06:47:25,
dhireshSondhar1,,"RT @OfficeOf_JV: India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue

https://t.co/Z31rwa9HR4

via N…",2021-01-10 06:44:47,
JManavadar,"Manavadar, India","India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
https://t.co/til4ZUQ1Ag. https://t.co/LX2ik5ahpr",2021-01-10 06:41:15,
vinayak1555,,@Sri_Kondapalli Very cogent assessment of the ongoing stalemate in Ladakh ! Further progress in the issue would dep… https://t.co/nTgrQLTTHf,2021-01-10 06:40:04,
lightuponlights,Al-Ard,RT @sehof: The damage Trump and Pompeo have done to America’s alliances is mainly located in Europe. The author has a point that things in…,2021-01-10 06:36:10,
sehof,Singapore,The damage Trump and Pompeo have done to America’s alliances is mainly located in Europe. The author has a point th… https://t.co/KOwy5o41Tu,2021-01-10 06:35:27,
crownkingjustin,"Michigan, USA",RT @DCTwining: The Biden administration may be surprised to discover US alliances &amp; partnerships in Asia are in good shape—the result of gr…,2021-01-10 06:34:46,
RameshDafdaBJYM,"Gujarat, India","India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
https://t.co/vi0kY36B45… https://t.co/8FWTjRr71Z",2021-01-10 06:28:05,
Sai_NRI,"New York, USA",Biden will inherit healthy Indo-Pacific alliances #Biden #China #India https://t.co/bCbhHwQGpW,2021-01-10 06:25:39,
Mohanla50533692,,"India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
https://t.co/rdu5c76j5t… https://t.co/G1UMKIkn6c",2021-01-10 06:22:40,
VietNameXchange,QP92+8P,"RT @DerekJGrossman: Contrary to conventional wisdom, the Biden admin will inherit relatively healthy US alliances &amp; partnerships post-Trump…",2021-01-10 06:21:52,
praveshgaur5,"Ghaziabad, India","India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
https://t.co/zxK0oPtdVw… https://t.co/HPT5bEnDOU",2021-01-10 06:17:09,
office_saurabh,"लखनऊ, भारत","RT @hariharanCP2: India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
https://t.co/uKZ00pQ7Kz via Na…",2021-01-10 06:12:16,
annadanaravi,India,"India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
 https://t.co/xkSsZHcy3p… https://t.co/HiZcHBxk2f",2021-01-10 06:10:00,
PJadvan,India,"India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
https://t.co/GvXnirNZ3H https://t.co/bCpnXZ4Mb0",2021-01-10 06:09:58,
kmayank9,"New Delhi, India","""The Biden administration might be surprised to discover that U.S. alliances and partnerships are in good shape --… https://t.co/KlT7BdGHYp",2021-01-10 06:04:19,
Tw_Vietnam,,"RT @StateDeputySPOX: Wheels down in Hanoi, Vietnam. @SecPompeo will meet with his counterparts to reaffirm the strength of the U.S.-Vietnam…",2021-01-10 05:53:56,
HARIKRSN,,"India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
https://t.co/w2523pnUyA… https://t.co/qQXicyUimN",2021-01-10 05:51:05,
ambrishayurved,", India","RT @NazirYosufi: My recent article published in Kalinga Institute of Indo-Pacific Studies. Special thanks to Prof @chintamani36 
https://t.…",2021-01-10 05:44:12,
STANLEY13594541,日本,RT @kuantingvision: A lot has changed since Taiwan has become a vibrant democracy and China has become even further authoritarian. It’s mor…,2021-01-10 05:36:43,
adesnik,Washington DC,RT @DCTwining: The Biden administration may be surprised to discover US alliances &amp; partnerships in Asia are in good shape—the result of gr…,2021-01-10 05:32:11,
G713321,"Andal, India","India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
https://t.co/Kfiamdk8jC… https://t.co/LD6RafFdyX",2021-01-10 05:30:48,
nekopia01,,"RT @sanjaythaakur72: India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
 https://t.co/eYCIaraAY5

v…",2021-01-10 05:27:45,
sanjaythaakur72,"Mumbai,Maharashtra,India.","India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
 https://t.co/eYCIaraAY5… https://t.co/DIqxVVkfKx",2021-01-10 05:24:28,
pixeltoo,France,RT @Scott_Zona: ICYMI: Interesting article by Liang et al. on seed biology of the coastal Indo-Pacific shrub Scaevola tacadda (as S. serice…,2021-01-10 05:22:37,
OfficeofKkr,,"RT @hariharanCP2: India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
https://t.co/uKZ00pQ7Kz via Na…",2021-01-10 05:22:02,
ModiYogiSena,,"RT @hariharanCP2: India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
https://t.co/uKZ00pQ7Kz via Na…",2021-01-10 05:17:47,
DTeaRevolution,India,"RT @hariharanCP2: India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
https://t.co/uKZ00pQ7Kz via Na…",2021-01-10 05:13:04,
douglasbulloch,Hong Kong,RT @DCTwining: The Biden administration may be surprised to discover US alliances &amp; partnerships in Asia are in good shape—the result of gr…,2021-01-10 05:06:21,
Devious419,,@theage @ChrisBarrett_ #BLM! Typical! The ethincally White European community of Aussies being xenophobic and racis… https://t.co/p958BwiaYX,2021-01-10 05:05:30,
orfonline,India,The 2020 border crisis was the last straw for a fundamental reappraisal of India’s China policy as well as its larg… https://t.co/DMxlnVZnFo,2021-01-10 05:00:00,
mizuotiyuki,Japan,"JCG stated  ""We will contribute  maintaining and strength the Free and Open international order of the seas based o… https://t.co/iyF51Y2qFM",2021-01-10 04:57:23,
Devious419,,@abcnews #BLM! The ethincally White European community of Aussies being xenophobic and racist to Blackfellas is not… https://t.co/nRsD6BFso6,2021-01-10 04:57:13,
kuantingvision,,A lot has changed since Taiwan has become a vibrant democracy and China has become even further authoritarian. It’s… https://t.co/PVZSaSWrWH,2021-01-10 04:57:03,
BJP4Kashi,काशी प्रांत,"RT @sunilozabjp: India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
https://t.co/hs51QfNHZt

via Na…",2021-01-10 04:33:27,
0dy3253j1b22201,,RT @IndoPac_Info: 2) Germany will send a frigate to patrol Indo-Pacific waters later this year. Britain will deploy the British carrier str…,2021-01-10 04:33:13,
AnantaAspen,New Delhi,"Join us for a session on ""India- Indonesia Relations &amp; the Indo- Pacific"" with H.E. Mr. Sidharto Reza Suryodipuro,… https://t.co/mhdUpkUfUS",2021-01-10 04:24:20,
runyan_keith,Online,@jgreenhall Situation Assessment 2021? How will Biden admin restructure the Indo-Pacific strategy? Conservative soc… https://t.co/hh13mMZca3,2021-01-10 04:15:05,
orfonline,India,2020 saw significant acquisitions by many #IndoPacific countries — find out more from Manoj Joshi. https://t.co/ljSOGgbQ7K,2021-01-10 04:15:00,
DanGarrett97,"Counter-hegemonic Resistance in China's Hong Kong
Visualizing Protest in the City https://www.springer.com/gp/book/9789812872357",RT @DCTwining: The Biden administration may be surprised to discover US alliances &amp; partnerships in Asia are in good shape—the result of gr…,2021-01-10 04:14:25,
MillerKAP,Chicago,RT @DCTwining: The Biden administration may be surprised to discover US alliances &amp; partnerships in Asia are in good shape—the result of gr…,2021-01-10 04:12:26,
DCTwining,,The Biden administration may be surprised to discover US alliances &amp; partnerships in Asia are in good shape—the res… https://t.co/4F1QUwmbYw,2021-01-10 04:09:46,
YouthIconBharat,"Hansi, India","RT @hariharanCP2: India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
https://t.co/uKZ00pQ7Kz via Na…",2021-01-10 04:07:46,
KaPrayag,,"RT @hariharanCP2: India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
https://t.co/uKZ00pQ7Kz via Na…",2021-01-10 04:02:58,
CSUK_News,London,"Germany, France and Britain each plan to boost their military presence in the Indo-Pacific region, a move analysts… https://t.co/1z1uJLsdif",2021-01-10 04:00:04,
eMayank_chaubey,"Varanasi, India","India, France discuss counter-terrorism, cooperation in Indo-Pacific at strategic dialogue
https://t.co/edWPMR0WhI https://t.co/NOsr0etFNQ",2021-01-10 03:56:59,
