user,location,tweet,Date,Tweet Coordinates
Deepakk79951168,"Deoghar, Jharkhand","RT @CPR_India: As #Quad prepares to meet the Chinese challenge, there's a need to study the strategic implications of #Pakistan’s huge debt…",2021-01-10 07:52:47,
KBhairava1,,"This here is very tricky.. 
Yes It's true Aussies are racist. There is nothing new in it. They need to be educated… https://t.co/0cZMcV2aa1",2021-01-10 07:39:52,
Resort_Skelin,Hrvatska,"Every team is different. Let's create a perfect team building for your business. 🧑🏻‍🤝‍🧑🏻

Organize a team and come:… https://t.co/he4FHhKLZN",2021-01-10 07:31:08,
CPR_India,New Delhi,"As #Quad prepares to meet the Chinese challenge, there's a need to study the strategic implications of #Pakistan’s… https://t.co/80pZSIRDn8",2021-01-10 07:30:00,
Harry_Robots,"Renton, WA","RT @r_frojd: It's all about the details! 😃
Test assembly in progress 
#k3lso #quad #quadruped #cnc #robotics https://t.co/3PMNzs5Q2J",2021-01-10 05:38:30,
darking2jarlie,Space,"@SecPompeo for 2024🇺🇲🎃
This man is great🙏🏽 thx🤞🏽#ElectionIntegrity #election #MikePompeo #POTUS #America #Taiwán… https://t.co/UfZej0fnwA",2021-01-10 04:04:02,
Arcadia63007154,"Queensland, Australia","I was feeling myself on @Battlefield 5 just now, absolute butter mag...🧈🧈🧈
#BattlefieldV #sniper #Headshot #quad… https://t.co/iq1cCWz0CN",2021-01-10 03:32:49,
YCoquillages,"Bordeaux, France",Do you all ever leave the #blender on by accident in #GearsofWar and end up with a #quad #feed ? I’ll be live tomor… https://t.co/kBXHCES1kz,2021-01-10 02:16:08,
ItsIVIarcus,,Heres My First Clip On Cold War #ColdWar #quad #Snipes #SnippetSaturday #sniper #CallofDuty… https://t.co/UVhJiRDdDu,2021-01-10 00:19:33,
RobotConsumer,,"RT @r_frojd: Parts for the robot stand is ordered! :) 

#k3lso #quad #quadruped #robotics #mit #cheetah https://t.co/nM5w4aggjm",2021-01-10 00:00:42,
r_frojd,Sverige,"Parts for the robot stand is ordered! :) 

#k3lso #quad #quadruped #robotics #mit #cheetah https://t.co/nM5w4aggjm",2021-01-09 23:54:02,
