user,location,tweet,Date,Tweet Coordinates
sharkisamazing,,"・レモンザメ（全長:3.8mまで 生息地:インド太平洋の熱帯域）（Sicklefin Lemmon Shark
Total length:Max3.8m Habitat:The tropics of Indo-Pacific) https://t.co/lf0RZtNPNP",2021-01-10 04:54:34,
FumiNozoe,,ルールに基づいたインド太平洋戦略というならディエゴガルシアからはじめよと。たしかに民主主義や自由などを謳うなら沖縄もそう。Want a Rules-Based Order for the Indo-Pacific? Start W… https://t.co/lTwYH2MSv2,2021-01-10 02:59:11,
riuemonn,２４時間ついった監視業(ﾟσ ﾟ) ﾎｼﾞﾎｼﾞ,"RT @riekohayakawa: ＜インドとオセアニア　可能性と機会 ＞クレオ・パスカルとファカファヌア卿 - インド太平洋研究会　Indo-Pacific Studies  https://t.co/wmYqEioO8C 

インド太平洋研究会のアドバイザーをお願いしてい…",2021-01-09 22:28:59,
LesFW7SuraWxotB,［呪い返し］,"RT @riekohayakawa: ＜インドとオセアニア　可能性と機会 ＞クレオ・パスカルとファカファヌア卿 - インド太平洋研究会　Indo-Pacific Studies  https://t.co/wmYqEioO8C 

インド太平洋研究会のアドバイザーをお願いしてい…",2021-01-09 21:56:10,
riekohayakawa,Pacific-NZ-Kyoto,"＜インドとオセアニア　可能性と機会 ＞クレオ・パスカルとファカファヌア卿 - インド太平洋研究会　Indo-Pacific Studies  https://t.co/wmYqEioO8C 

インド太平洋研究会のアドバイザーをお… https://t.co/MG7g3EBBzV",2021-01-09 21:49:14,
QJapq2v5xFfgq0h,,RT @Hiromi_HIROSE: アメリカがインドの新しい大使館の建物の工事を開始。2027年秋に完成する予定。チャナキャプリ地区の現在の建物の隣。→暑さと大気汚染以外はデリーでも別世界の大使館だったがさらにすごいものになるのだろう。 https://t.co/scnhs9…,2021-01-09 12:30:13,
Hiromi_HIROSE,,アメリカがインドの新しい大使館の建物の工事を開始。2027年秋に完成する予定。チャナキャプリ地区の現在の建物の隣。→暑さと大気汚染以外はデリーでも別世界の大使館だったがさらにすごいものになるのだろう。 https://t.co/scnhs9lwaW,2021-01-09 12:25:39,
sharkisamazing,,"・レモンザメ（全長:3.8mまで 生息地:インド太平洋の熱帯域）（Sicklefin Lemmon Shark
Total length:Max3.8m Habitat:The tropics of Indo-Pacific) https://t.co/lf0RZtNPNP",2021-01-09 07:23:49,
riekohayakawa,Pacific-NZ-Kyoto,"ドイツのミクロネシア統治byヒーゼル神父　&lt;ドイツ国旗を掲揚&gt; - インド太平洋研究会　Indo-Pacific Studies  https://t.co/b74y9YZYdl 

今日のインド太平洋PodCafeの輪読予定の原… https://t.co/zJcnSIoM2F",2021-01-08 23:53:24,
NatashaTakako,"london, tokyo⇔gunma, amsterdam","夜ヨガしながら世界地図🌐を頭に浮かべて、ふと思ったこと→日本の外交がNATO寄りになり始めている？

なぜか？
Indo-Pacific Security インド太平洋戦略に欧州の理解を得るため？

でも日本と欧州では
・中国
・… https://t.co/S3ia7iQjfY",2021-01-08 14:52:58,
pseudo_toy,,"RT @SinjowKazma: お、HMS QEが東アジアに展開すんの？

：UK to send aircraft carrier strike group to waters near Japan https://t.co/Xj3Al51KjH",2021-01-08 06:58:34,
SinjowKazma,somewhere in post-Quake Tokyo,"お、HMS QEが東アジアに展開すんの？

：UK to send aircraft carrier strike group to waters near Japan https://t.co/Xj3Al51KjH",2021-01-08 06:51:59,
sharkisamazing,,"・レモンザメ（全長:3.8mまで 生息地:インド太平洋の熱帯域）（Sicklefin Lemmon Shark
Total length:Max3.8m Habitat:The tropics of Indo-Pacific) https://t.co/lf0RZtNPNP",2021-01-08 05:56:01,
Hibyme,,"FREE and OPEN indo pacific🙋

開かれた💡インドパシフィック

C国のものではないということで、めちゃ大事な言葉

以前すがさんから売デンへのメッセージの時に、一度この言葉が抜けてたことがあったけど...… https://t.co/5FOZ3mnS0g",2021-01-07 22:18:02,
gyugyutto3,,"RT @utatroo: 制御不可能はどうやら誤報だが、専用制御端末がないのは誤報ではない模様。
現在アナシス2号は、アナシス1号の制御端末で制御されているとのこと。試験期間は専用端末いらないケンチャナヨ、ってことらしい

https://t.co/xLYCMpftXn",2021-01-07 14:56:16,
Moto__Dream,,ICBMの開発が一段落した北朝鮮、遂に極超音速ミサイルの開発を本格化 https://t.co/RA0msRK1I6,2021-01-07 13:41:53,
ka2i,Aichi Japan,ICBMの開発が一段落した北朝鮮、遂に極超音速ミサイルの開発を本格化 https://t.co/rWhCwxDhPM,2021-01-07 13:12:23,
f_japan_news,,"ICBMの開発が一段落した北朝鮮、遂に極超音速ミサイルの開発を本格化
#北朝鮮    #ミサイル https://t.co/Zqpm4I4SD4",2021-01-07 09:37:57,
newgascooker,福岡市内,"RT @grandfleet_info: ICBMの開発が一段落した北朝鮮、遂に極超音速ミサイルの開発を本格化
https://t.co/SRFpPVH8NL
#航空万能論GF #軍事 #雑学 #ミリタリー #ニュース #北朝鮮 #極超音速ミサイル #大陸間弾道ミサイル #日本",2021-01-07 08:47:40,
