user,location,tweet,Date,Tweet Coordinates
wflockton,"Brighton, England",RT @ga_richardson: #China warns it will 'poke the eyes' of #NZ and allies (the Five Eyes security network #FVEY). How NZ PM @jacindaardern…,2020-12-14 18:40:39,
ga_richardson,Vancouver & Takla Landing,RT @ga_richardson: #China warns it will 'poke the eyes' of #NZ and allies (the Five Eyes security network #FVEY). How NZ PM @jacindaardern…,2020-12-14 18:39:00,
RobotConsumer,,"RT @r_frojd: Knee joints shafts, bearings and titanium screws! 👌 

#k3lso #quad #quadruped #robotics #titanium https://t.co/KEFrIFnGVu",2020-12-14 18:00:11,
r_frojd,Sverige,"Knee joints shafts, bearings and titanium screws! 👌 

#k3lso #quad #quadruped #robotics #titanium https://t.co/KEFrIFnGVu",2020-12-14 17:58:15,
colossalcam,"Latrobe, PA","RT @15thCole: @colossalcam i’m witchu,, fuck a #boss fr we are own 
#QUAD #Ent #entertainment 
#2021goals #2k21 🙏🏻🙏🏻",2020-12-14 16:32:52,
harish504,bangalore,"RT @AbhayRishi28: A superb logical analysis of the weak spots in Chinese armour by General @palepurshankar ! 👍👌‼️ 

Bharat must coordinate…",2020-12-14 14:22:54,
PoldyFx,,@RetirementRight #Quad #Witching #OPEX #FOMC week,2020-12-14 14:20:13,
KeithMcCullough,"Stamford, CT","RT @HedgeyeDDale: ""To be clear, charts don't tell you anything about the future -- especially if it's a single-factor PRICE chart.""
-@Keith…",2020-12-14 13:57:47,
furg2000,,"RT @HedgeyeDDale: ""To be clear, charts don't tell you anything about the future -- especially if it's a single-factor PRICE chart.""
-@Keith…",2020-12-14 13:30:55,
cryptowais,,"RT @HedgeyeDDale: ""To be clear, charts don't tell you anything about the future -- especially if it's a single-factor PRICE chart.""
-@Keith…",2020-12-14 13:10:03,
Hedgeye,"Stamford, Connecticut","RT @HedgeyeDDale: ""To be clear, charts don't tell you anything about the future -- especially if it's a single-factor PRICE chart.""
-@Keith…",2020-12-14 13:08:31,
HedgeyeDDale,"Stamford, CT","""To be clear, charts don't tell you anything about the future -- especially if it's a single-factor PRICE chart.""
-… https://t.co/RQ7olC8RMv",2020-12-14 13:07:18,
AliBootwalla,"Mumbai, India","RT @GatewayHouseIND: Join the Gateway House-@KASonline webcast on, 𝐄𝐮𝐫𝐨𝐩𝐞 𝐢𝐧 𝐭𝐡𝐞 𝐈𝐧𝐝𝐨-𝐏𝐚𝐜𝐢𝐟𝐢𝐜. 

15 December | 5:30pm (IST)

Register here:…",2020-12-14 12:18:51,
A31X64Vijay,INDIA. (Bharat),"RT @AbhayRishi28: A superb logical analysis of the weak spots in Chinese armour by General @palepurshankar ! 👍👌‼️ 

Bharat must coordinate…",2020-12-14 11:56:49,
palepurshankar,,"RT @AbhayRishi28: A superb logical analysis of the weak spots in Chinese armour by General @palepurshankar ! 👍👌‼️ 

Bharat must coordinate…",2020-12-14 11:43:02,
AbhayRishi28,,"A superb logical analysis of the weak spots in Chinese armour by General @palepurshankar ! 👍👌‼️ 

Bharat must coord… https://t.co/Qe09oWrZr5",2020-12-14 11:36:15,
billdavieshonda,Herefordshire,"Just in time for Christmas, good range of new and used quads #honda #quad #atv #happychristmas 😀🎄🎄 https://t.co/KgWnVFgidZ",2020-12-14 11:04:01,
15thCole,"Pennsylvania, USA","@colossalcam i’m witchu,, fuck a #boss fr we are own 
#QUAD #Ent #entertainment 
#2021goals #2k21 🙏🏻🙏🏻",2020-12-14 09:50:35,
yymods,ゆっくりまったりの通り道 鍵垢さんは一言お声がけ下さい。,RT @YukaKoshino: Sharing Prof. @KS_1013 's op-ed calling for cooperation in international rulemaking for space debris removal among the #QU…,2020-12-14 07:29:58,
