user,location,tweet,Date,Tweet Coordinates
hilarina98,"Sydney, Australia","'Australian universities must retain language programs, which are vital to equip the next generation for smart enga… https://t.co/j71WX7vQt9",2020-12-14 20:51:04,
crystal_quartz0,知多県,"RT @USNavy: A P-8A Poseidon assigned to Patrol Squadron 8 launches during a snow storm at Misawa Air Base, Japan. VP-8 conducts maritime pa…",2020-12-14 20:46:16,
DinaPatriot,,"RT @USNavy: A P-8A Poseidon assigned to Patrol Squadron 8 launches during a snow storm at Misawa Air Base, Japan. VP-8 conducts maritime pa…",2020-12-14 20:43:31,
KOTETSU__www,,"Britain returns to the Indo-Pacific
18 DECEMBER 2018
https://t.co/uj89JPxBwn",2020-12-14 20:42:02,
KOTETSU__www,,"The Free and Open Indo-Pacific strategy: a way forward
25 JULY 2019
https://t.co/6GF7MLa4eY",2020-12-14 20:36:57,
CtownWorkingMan,"42.378206, -71.060213","RT @USNavy: A P-8A Poseidon assigned to Patrol Squadron 8 launches during a snow storm at Misawa Air Base, Japan. VP-8 conducts maritime pa…",2020-12-14 20:35:58,
daysoftdream,,"RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 20:35:42,
AnneMarie5667,U.S.,"RT @USNavy: A P-8A Poseidon assigned to Patrol Squadron 8 launches during a snow storm at Misawa Air Base, Japan. VP-8 conducts maritime pa…",2020-12-14 20:30:34,
ABranger_wife,JAPAN,"RT @USNavy: A P-8A Poseidon assigned to Patrol Squadron 8 launches during a snow storm at Misawa Air Base, Japan. VP-8 conducts maritime pa…",2020-12-14 20:29:50,
OHungerdell,"Vermont, USA",RT @caitoz: Our national sovereignty has been stolen to turn us into a US military/intelligence asset; nothing more than a convenient stret…,2020-12-14 20:29:00,
ankitt14,"Mumbai, India","RT @NavroopSingh_: Rajanth singh spoke against China, then the CDS &amp; now S Jaishankar on Indo-Pacific indirectly rebuffing Russian MFA lavr…",2020-12-14 20:28:30,
Lenny_C10,,RT @caitoz: Our national sovereignty has been stolen to turn us into a US military/intelligence asset; nothing more than a convenient stret…,2020-12-14 20:25:34,
lespaulplayer01,"Fort Worth, TX","RT @USNavy: A P-8A Poseidon assigned to Patrol Squadron 8 launches during a snow storm at Misawa Air Base, Japan. VP-8 conducts maritime pa…",2020-12-14 20:22:21,
CaptainRune,"Reading, England",RT @caitoz: Our national sovereignty has been stolen to turn us into a US military/intelligence asset; nothing more than a convenient stret…,2020-12-14 20:21:38,
DavidSantoro1,"Honolulu, HI","""The #China crisis increases Indian willingness to work in the Indo-Pacific with countries that share #India’s conc… https://t.co/gKbBV457le",2020-12-14 20:19:23,
GJ12740,KARNAVATI (AMDAVAD/અમદાવાદ),"RT @Cold_Peace_: Jaishankar again endorses the ""Indo-Pacific.""

""Indo-Pacific is an emphatic statement that doesn't artificially separate […",2020-12-14 20:19:10,
HoneyBadger4517,,"RT @USNavy: A P-8A Poseidon assigned to Patrol Squadron 8 launches during a snow storm at Misawa Air Base, Japan. VP-8 conducts maritime pa…",2020-12-14 20:17:51,
Well80913694,,"RT @USNavy: A P-8A Poseidon assigned to Patrol Squadron 8 launches during a snow storm at Misawa Air Base, Japan. VP-8 conducts maritime pa…",2020-12-14 20:14:12,
wanderlusterers,She/Her 🔞,RT @caitoz: Our national sovereignty has been stolen to turn us into a US military/intelligence asset; nothing more than a convenient stret…,2020-12-14 20:12:57,
rajivsharmaDR,,"RT @Cold_Peace_: Jaishankar again endorses the ""Indo-Pacific.""

""Indo-Pacific is an emphatic statement that doesn't artificially separate […",2020-12-14 20:12:46,
kallisaman,katihar,"RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 20:12:42,
IcyGreenForest,,RT @caitoz: Our national sovereignty has been stolen to turn us into a US military/intelligence asset; nothing more than a convenient stret…,2020-12-14 20:08:31,
satyavadin,वेणुग्राम:,"RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 20:06:47,
SayfEl14,,"RT @USNavy: A P-8A Poseidon assigned to Patrol Squadron 8 launches during a snow storm at Misawa Air Base, Japan. VP-8 conducts maritime pa…",2020-12-14 20:05:24,
rose_nd_ash,"Hyderabad, India","RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 20:05:18,
bodhibrian,australia,RT @caitoz: Our national sovereignty has been stolen to turn us into a US military/intelligence asset; nothing more than a convenient stret…,2020-12-14 20:05:12,
Rudradaman2,,RT @YusufDFI: Harsh Pant:Moscow’s relationship with Beijing is critical to give Russia a sense of being some kind of a global power. As Ind…,2020-12-14 20:03:54,
MdVet4,"Canton, Baltimore",RT @caitoz: Our national sovereignty has been stolen to turn us into a US military/intelligence asset; nothing more than a convenient stret…,2020-12-14 20:03:43,
LukeLischin,"Washington, DC","RT @hmarston4: Adm. Phil Davidson @ISEAS: ""convergence consists of like-minded nations operating to deter a common threat."" Who's going to…",2020-12-14 20:02:45,
Brad_L_Bowman,"Washington, DC","Actually @realDonaldTrump, the #FY21NDAA includes important components such as the Pacific Deterrence Initiative th… https://t.co/Ty6ikbjRje",2020-12-14 20:01:55,
ml_1maria,,RT @caitoz: Our national sovereignty has been stolen to turn us into a US military/intelligence asset; nothing more than a convenient stret…,2020-12-14 20:01:51,
ParthSatam,"Maharashtra, India",We might've secured sanction waivers on Chabahar (which we still lost in the end). But with Pres-elect Joe Biden an… https://t.co/BOA8z4txL0,2020-12-14 19:58:51,
curatedretweet,,"RT @NavroopSingh_: Rajanth singh spoke against China, then the CDS &amp; now S Jaishankar on Indo-Pacific indirectly rebuffing Russian MFA lavr…",2020-12-14 19:58:27,
RaulParody,India,"RT @NavroopSingh_: Rajanth singh spoke against China, then the CDS &amp; now S Jaishankar on Indo-Pacific indirectly rebuffing Russian MFA lavr…",2020-12-14 19:58:12,
jaakash2004,,"RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 19:57:15,
xerolift,United States of America,"RT @USNavy: A P-8A Poseidon assigned to Patrol Squadron 8 launches during a snow storm at Misawa Air Base, Japan. VP-8 conducts maritime pa…",2020-12-14 19:56:34,
jst90,,"RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 19:55:06,
k1a1zzz,"Kawasaki-city, Kanagawa JAPAN","RT @USNavy: A P-8A Poseidon assigned to Patrol Squadron 8 launches during a snow storm at Misawa Air Base, Japan. VP-8 conducts maritime pa…",2020-12-14 19:54:42,
spasan1,,"RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 19:51:15,
KAUSHIK95885206,,"RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 19:51:11,
somewherehere__,India,"RT @NavroopSingh_: Rajanth singh spoke against China, then the CDS &amp; now S Jaishankar on Indo-Pacific indirectly rebuffing Russian MFA lavr…",2020-12-14 19:50:51,
UncommonShekhar,"Motihari, India","RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 19:50:25,
NavalNews,"Newport, RI","#Seychelles in Crosshairs of #India's #MaritimeSecurity Axis
https://t.co/F6PBGjMGFr",2020-12-14 19:49:09,
ImPrC,,"RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 19:46:29,
Ahmad37616121,Global South,"RT @clary_co: Ah, this might seem like a problem, but the Trump administration said ""Indo-Pacific"" in front of a mirror 3 times every night…",2020-12-14 19:45:59,
NotTriggerAtAll,Peoples republic of Berkeley,"RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 19:42:30,
homeopathy2010,USA,"RT @NavroopSingh_: Rajanth singh spoke against China, then the CDS &amp; now S Jaishankar on Indo-Pacific indirectly rebuffing Russian MFA lavr…",2020-12-14 19:42:01,
lalmandal,"Brighton, England","RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 19:41:49,
tres444,The Road Not Taken,"RT @USNavy: A P-8A Poseidon assigned to Patrol Squadron 8 launches during a snow storm at Misawa Air Base, Japan. VP-8 conducts maritime pa…",2020-12-14 19:41:17,
KatieFr_inAZ39,AZ,"RT @USNavy: A P-8A Poseidon assigned to Patrol Squadron 8 launches during a snow storm at Misawa Air Base, Japan. VP-8 conducts maritime pa…",2020-12-14 19:39:12,
migikamo_666,反日・パヨ界隈・無駄に絡む方・鍵垢は即ブロさせていただきます,RT @AsiaMTI: B-1B Lancer launched from Guam conducts rapid response training with two F-22 Raptors in the Indo-Pacific. @USairforce https:/…,2020-12-14 19:38:49,
AMARNATHJHA,India,"RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 19:38:15,
_asura_samraat_,,"RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 19:38:09,
sanataniameric1,"New York, NY","RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 19:38:00,
laxman_xy,India,"RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 19:37:45,
subodhsastri,दिल्ली आैर उत्तर प्रदेश।,"RT @NavroopSingh_: Rajanth singh spoke against China, then the CDS &amp; now S Jaishankar on Indo-Pacific indirectly rebuffing Russian MFA lavr…",2020-12-14 19:35:13,
billyth10076760,,"RT @clary_co: Ah, this might seem like a problem, but the Trump administration said ""Indo-Pacific"" in front of a mirror 3 times every night…",2020-12-14 19:33:32,
Faisal00828601,,"RT @Chellaney: India's defense minister finally calls China out for its aggression: ""Unprovoked aggression on our Himalayan frontiers is a…",2020-12-14 19:32:24,
talhaahmad967,Global,"Meanwhile in a parallel universe
""$5bn deal for S-400 missiles""
Indo-Pacific!!!! https://t.co/0Mx8eW1oni https://t.co/0BhIVuyevI",2020-12-14 19:31:29,
omarali50,,"RT @clary_co: Ah, this might seem like a problem, but the Trump administration said ""Indo-Pacific"" in front of a mirror 3 times every night…",2020-12-14 19:31:25,
jhop4749,,"RT @USNavy: A P-8A Poseidon assigned to Patrol Squadron 8 launches during a snow storm at Misawa Air Base, Japan. VP-8 conducts maritime pa…",2020-12-14 19:31:16,
heyimjoe92,"Washington, DC","RT @clary_co: Ah, this might seem like a problem, but the Trump administration said ""Indo-Pacific"" in front of a mirror 3 times every night…",2020-12-14 19:31:07,
anuragrby1,Lost,RT @KanwalSibal: Jaishankar by stating Indo- Pacific is seamlessly connected as part of globalisation rebuts Lavrov’s charge that concept i…,2020-12-14 19:30:58,
keeganRyder801,"Idaho, USA","RT @USNavy: A P-8A Poseidon assigned to Patrol Squadron 8 launches during a snow storm at Misawa Air Base, Japan. VP-8 conducts maritime pa…",2020-12-14 19:30:50,
clary_co,,"Ah, this might seem like a problem, but the Trump administration said ""Indo-Pacific"" in front of a mirror 3 times e… https://t.co/JixP9mSogP",2020-12-14 19:30:22,
AsiaMTI,"Washington, DC",B-1B Lancer launched from Guam conducts rapid response training with two F-22 Raptors in the Indo-Pacific.… https://t.co/IfQWKx6OSo,2020-12-14 19:30:00,
anuragrby1,Lost,"RT @Cold_Peace_: Jaishankar again endorses the ""Indo-Pacific.""

""Indo-Pacific is an emphatic statement that doesn't artificially separate […",2020-12-14 19:29:29,
Parikramah,The Rann of Kutch,"RT @Cold_Peace_: Jaishankar again endorses the ""Indo-Pacific.""

""Indo-Pacific is an emphatic statement that doesn't artificially separate […",2020-12-14 19:27:53,
anuragrby1,Lost,"RT @NavroopSingh_: Rajanth singh spoke against China, then the CDS &amp; now S Jaishankar on Indo-Pacific indirectly rebuffing Russian MFA lavr…",2020-12-14 19:27:36,
AmberNicole06,"South Carolina, USA","RT @USNavy: A P-8A Poseidon assigned to Patrol Squadron 8 launches during a snow storm at Misawa Air Base, Japan. VP-8 conducts maritime pa…",2020-12-14 19:26:57,
