user,location,tweet,Date,Tweet Coordinates
satishtezaa,"New Delhi, India","RT @orfhindi: क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?

जानें N SATHIYA MOORTHY के इस ले…",2020-12-14 18:43:19,
orfhindi,India,"क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?
 
जानें N SATHIYA MOORT… https://t.co/HxfXwNMk4R",2020-12-14 18:10:00,
satishtezaa,"New Delhi, India","RT @orfhindi: क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?
 
जानें N SATHIYA MOORTHY के इस…",2020-12-14 15:54:23,
satishtezaa,"New Delhi, India","RT @orfhindi: क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?
 
जानें N SATHIYA MOORTHY के इस…",2020-12-14 15:53:16,
orfhindi,India,"क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?
 
जानें N SATHIYA MOORT… https://t.co/ELx3WPChkg",2020-12-14 11:10:00,
orfhindi,India,"क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?
 
जानें N SATHIYA MOORT… https://t.co/JgiJIXrkgo",2020-12-14 04:52:00,
satishtezaa,"New Delhi, India","RT @orfhindi: क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?
 
जानें N SATHIYA MOORTHY के इस…",2020-12-13 08:08:18,
orfhindi,India,"क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?
 
जानें N SATHIYA MOORT… https://t.co/LQZBLO3nRW",2020-12-13 07:03:00,
satishtezaa,"New Delhi, India","RT @orfhindi: क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?
 
जानें N SATHIYA MOORTHY के इस…",2020-12-13 04:40:15,
orfhindi,India,"क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?
 
जानें N SATHIYA MOORT… https://t.co/oWiU06LRz2",2020-12-13 04:03:00,
satishtezaa,"New Delhi, India","RT @orfhindi: क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?

जानें N SATHIYA MOORTHY के इस ले…",2020-12-12 11:35:15,
orfhindi,India,"क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?

जानें N SATHIYA MOORTH… https://t.co/G4fC59D0q8",2020-12-12 06:31:58,
hwnewsnetwork,"Mumbai, India",भारत पश्चिमी देशों की चीन-विरोधी नीति का मोहरा - रूस  #China #Quad #Russia https://t.co/YOw0Bn6dz1,2020-12-10 05:39:52,
