user,location,tweet,Date,Tweet Coordinates
DIVYAAM_1979,India,"RT @CantstopulovinM: #India was committed to a peaceful &amp; prosperous Indo-Pacific region, PM @narendramodi ji

प्रधान मंत्री नरेंद्र मोदी…",2020-12-14 19:04:22,
satishtezaa,"New Delhi, India","RT @orfhindi: जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.

जानें K. V. KESAVAN के इस लेख में:

h…",2020-12-14 18:50:34,
satishtezaa,"New Delhi, India","RT @orfhindi: जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.
 
जानें K. V. KESAVAN के इस लेख में:…",2020-12-14 18:50:23,
satishtezaa,"New Delhi, India","RT @orfhindi: जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.
 
जानें K. V. KESAVAN के इस लेख में:…",2020-12-14 18:49:42,
satishtezaa,"New Delhi, India","RT @orfhindi: जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.
 
जानें K. V. KESAVAN के इस लेख में:…",2020-12-14 18:48:55,
satishtezaa,"New Delhi, India","RT @orfhindi: जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.
 
जानें K. V. KESAVAN के इस लेख में:…",2020-12-14 18:48:37,
satishtezaa,"New Delhi, India","RT @orfhindi: जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.
 
जानें K. V. KESAVAN के इस लेख में:…",2020-12-14 18:47:21,
satishtezaa,"New Delhi, India","RT @orfhindi: जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.
 
जानें K. V. KESAVAN के इस लेख में:…",2020-12-14 18:45:47,
satishtezaa,"New Delhi, India","RT @orfhindi: जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.
 
जानें K. V. KESAVAN के इस लेख में:…",2020-12-14 18:45:38,
satishtezaa,"New Delhi, India","RT @orfhindi: जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.
 
जानें K. V. KESAVAN के इस लेख में:…",2020-12-14 18:43:15,
satishtezaa,"New Delhi, India","RT @orfhindi: जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.
 
जानें K. V. KESAVAN के इस लेख में:…",2020-12-14 15:53:39,
Yeswecan1231,,"RT @orfhindi: जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.
 
जानें K. V. KESAVAN के इस लेख में:…",2020-12-14 07:58:06,
orfhindi,India,"जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.
 
जानें K. V. KESAVAN के इस… https://t.co/EqOL7zbxMH",2020-12-14 07:15:00,
satishtezaa,"New Delhi, India",RT @orfhindi: श्रीलंका का चीन की तरफ रुझान केवल भारत के लिए ही नहीं बल्कि उसके भी हित में नहीं है. ऐसे में अगर श्रीलंका चीन के साथ संबंधों…,2020-12-14 04:37:36,
7558Xyz,Zihuatanejo,@c715e36e5e4b4d3 @Rakesh_jain_ @MohmmadShakib1 @AyshaRenna @ladeedafarzana @FayizaRebel @ChandaJMI quad bangyaa COM… https://t.co/V7YvOShZpk,2020-12-13 11:28:14,
satishtezaa,"New Delhi, India","RT @orfhindi: जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.

जानें K. V. KESAVAN के इस लेख में:

h…",2020-12-13 10:38:03,
satishtezaa,"New Delhi, India","RT @orfhindi: जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.
 
जानें K. V. KESAVAN के इस लेख में:…",2020-12-13 10:37:54,
satishtezaa,"New Delhi, India","RT @orfhindi: जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.
 
जानें K. V. KESAVAN के इस लेख में:…",2020-12-13 10:37:10,
satishtezaa,"New Delhi, India","RT @orfhindi: जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.
 
जानें K. V. KESAVAN के इस लेख में:…",2020-12-13 10:36:29,
