user,location,tweet,Date,Tweet Coordinates
Drk44242477,東京 世田谷区,@ssomurice_local Free and Open Indo-Pacificを全く理解していませんね。議員としてはアウトでしょう。,2020-12-14 22:06:18,
sharkisamazing,,"・ツマグロ（全長:1.6m 生息地:インド太平洋のサンゴ礁など）
（Blacktip Reef Shark
Total length:1.6m Habitat:Indo Pacific,coral reef） https://t.co/dZi5EAs37p",2020-12-14 09:22:41,
9b3OR2qdITMbDcd,日本 ,"RT @diatomjp: 欠番の米第１艦隊を再建。

パースに第１艦隊
横須賀に第７艦隊

日米豪安保体制を支える両輪。

Navy pushes ahead with plans to stand up another numbered fleet in the Indo-…",2020-12-13 13:14:54,
she1182,東亜重工本土,バイデン氏の大統領就任後、日本のインド太平洋戦略は存続可能か？ – 航空万能論GF https://t.co/IsWZJ2kNDi,2020-12-13 12:00:40,
araigumapasukar,住宅街,"RT @diatomjp: 欠番の米第１艦隊を再建。

パースに第１艦隊
横須賀に第７艦隊

日米豪安保体制を支える両輪。

Navy pushes ahead with plans to stand up another numbered fleet in the Indo-…",2020-12-13 10:55:26,
siten225,,"RT @diatomjp: 欠番の米第１艦隊を再建。

パースに第１艦隊
横須賀に第７艦隊

日米豪安保体制を支える両輪。

Navy pushes ahead with plans to stand up another numbered fleet in the Indo-…",2020-12-13 10:27:11,
kyrie16,Tokyo city,"RT @diatomjp: 欠番の米第１艦隊を再建。

パースに第１艦隊
横須賀に第７艦隊

日米豪安保体制を支える両輪。

Navy pushes ahead with plans to stand up another numbered fleet in the Indo-…",2020-12-13 10:10:34,
lvory_bear,北海道 湘南,"売電登場で
日本と世界の安全保障
形が変わるだろうね
https://t.co/xGuJrj9gId",2020-12-13 07:40:25,
diatomjp,,"欠番の米第１艦隊を再建。

パースに第１艦隊
横須賀に第７艦隊

日米豪安保体制を支える両輪。

Navy pushes ahead with plans to stand up another numbered fleet in… https://t.co/EWjX5WqbBs",2020-12-13 07:37:43,
6LxTioCQmd1CLK3,,"RT @6LxTioCQmd1CLK3: バイデン氏の大統領就任後、日本のインド太平洋戦略は存続可能か？ – 航空万能論GF https://t.co/QIkmRY3Jn6

お先真っ暗やね",2020-12-13 06:19:01,
6LxTioCQmd1CLK3,,"バイデン氏の大統領就任後、日本のインド太平洋戦略は存続可能か？ – 航空万能論GF https://t.co/QIkmRY3Jn6

お先真っ暗やね",2020-12-13 06:18:53,
HollyhiiragiZ,日本 会津,バイデン氏の大統領就任後、日本のインド太平洋戦略は存続可能か？ – 航空万能論GF https://t.co/AySXgPvMS4,2020-12-12 23:21:45,
sharkisamazing,,"・ツマグロ（全長:1.6m 生息地:インド太平洋のサンゴ礁など）
（Blacktip Reef Shark
Total length:1.6m Habitat:Indo Pacific,coral reef） https://t.co/dZi5EAs37p",2020-12-12 20:21:53,
hokuto_19,,バイデン氏の大統領就任後、日本のインド太平洋戦略は存続可能か？ – 航空万能論GF https://t.co/6vAW6Yonmj,2020-12-12 19:50:03,
grandfleet_info,日本,"RT @grandfleet_info: バイデン氏の大統領就任後、日本のインド太平洋戦略は存続可能か？
https://t.co/pyLdrO2Vr9
#航空万能論GF #軍事 #雑学 #ミリタリー #ニュース #日本 #米国 #バイデン #トランプ #オースティン #国防長官",2020-12-12 13:54:30,
NatashaTakako,"london, tokyo⇔gunma, amsterdam","トランプさん→バイデンさんになっても変わらない外交政策はThe Indo-Pacific Strategy（インド太平洋戦略）

中国の対外政策（一帯一路）が太平洋→インド洋を経て中東、アフリカを含むから当然。
バイデンさんがインド太平洋戦略にオセアニアを含むか、確認したい",2020-12-12 12:01:18,
foxhound1823,ごちうさ次元,"RT @grandfleet_info: バイデン氏の大統領就任後、日本のインド太平洋戦略は存続可能か？
https://t.co/pyLdrO2Vr9
#航空万能論GF #軍事 #雑学 #ミリタリー #ニュース #日本 #米国 #バイデン #トランプ #オースティン #国防長官",2020-12-12 11:53:56,
KitaNishi_nw,静岡県,バイデン氏の大統領就任後、日本のインド太平洋戦略は存続可能か？ – 航空万能論GF https://t.co/6dughEuxSm,2020-12-12 10:20:28,
ka2i,Aichi Japan,バイデン氏の大統領就任後、日本のインド太平洋戦略は存続可能か？ https://t.co/2DZySJxvUk,2020-12-12 10:15:07,
hirasindao,日本,"RT @grandfleet_info: バイデン氏の大統領就任後、日本のインド太平洋戦略は存続可能か？
https://t.co/pyLdrO2Vr9
#航空万能論GF #軍事 #雑学 #ミリタリー #ニュース #日本 #米国 #バイデン #トランプ #オースティン #国防長官",2020-12-12 09:08:49,
fDyNxIsnOw1n7Hz,,"RT @grandfleet_info: バイデン氏の大統領就任後、日本のインド太平洋戦略は存続可能か？
https://t.co/pyLdrO2Vr9
#航空万能論GF #軍事 #雑学 #ミリタリー #ニュース #日本 #米国 #バイデン #トランプ #オースティン #国防長官",2020-12-12 09:05:47,
grandfleet_info,日本,"バイデン氏の大統領就任後、日本のインド太平洋戦略は存続可能か？
https://t.co/pyLdrO2Vr9
#航空万能論GF #軍事 #雑学 #ミリタリー #ニュース #日本 #米国 #バイデン #トランプ #オースティン #国防長官",2020-12-12 09:01:03,
sharkisamazing,,"・レモンザメ（全長:3.8mまで 生息地:インド太平洋の熱帯域）（Sicklefin Lemmon Shark
Total length:Max3.8m Habitat:The tropics of Indo-Pacific) https://t.co/lf0RZtNPNP",2020-12-12 05:52:47,
sharkisamazing,,"・トラフザメ（全長:2〜3m 生息地:インド太平洋、サンゴ礁）
（Zebra shark
Total length:2〜3m Habitat:Indo-Pacific,coral reef) https://t.co/57jb2gJlbm",2020-12-11 22:52:13,
r_apricot,"Tokyo, Japan","え～、なんで？　ショック😨
Indo Pacific Newsさん、別に過激な事書いてないと思ったけど…😞
#TwitterCensorship https://t.co/15V8jZ9lki",2020-12-11 14:41:37,
neet_eda,かごしま,"RT @Hirayoshi216: タメトモハゼ属GiurisのReview出てる。
https://t.co/s8VT9L6w3v",2020-12-11 14:36:15,
Hirayoshi216,,"タメトモハゼ属GiurisのReview出てる。
https://t.co/s8VT9L6w3v",2020-12-11 14:20:56,
grandfleet_info,日本,"RT @grandfleet_info: 小銃を備えたドローン？ 韓国軍、国産の自爆型や攻撃用UAV導入に着手
https://t.co/P2GZe4xeT7
#航空万能論GF #軍事 #雑学 #ミリタリー #ニュース #韓国 #韓国軍 #防衛事業庁 #無人航空機",2020-12-11 13:27:32,
T1m22FqF9GcMDMI,日本,"RT @grandfleet_info: 小銃を備えたドローン？ 韓国軍、国産の自爆型や攻撃用UAV導入に着手
https://t.co/P2GZe4xeT7
#航空万能論GF #軍事 #雑学 #ミリタリー #ニュース #韓国 #韓国軍 #防衛事業庁 #無人航空機",2020-12-11 11:00:27,
