user,location,tweet,Date,Tweet Coordinates
satishtezaa,"New Delhi, India","RT @orfhindi: जापान के पीएम योशिहिदे सुगा कैसे कर रहे है स्वतंत्र और मुक्त ‘इंडो-पैसिफिक’ का समर्थन.
 
जानें K. V. KESAVAN के इस लेख में:…",2020-12-22 15:27:05,
IndeedNeutral,"India, Asia",Ghumte hai saari duniya Japan se leke Russia https://t.co/7pSJj5KENJ,2020-12-22 12:31:35,
futurepm123,"New Delhi, India","@bakhtawar71 @MohanCRaja @IndianExpress Tum jake bheek mango na UAE, Saudiya se."" Indo-Pacific"" ye sab etna bhari w… https://t.co/oyCwojLhUo",2020-12-22 07:24:19,
RbharatNews,"mumbai, india","भारत, वियतनाम साझेदारी हिंद-प्रशांत क्षेत्र में शांति में महत्वपूर्ण योगदान दे सकती है: पीएम मोदी https://t.co/VJNna3bymw",2020-12-22 04:22:41,
AnishKu09601465,"Bihar, India","RT @Republic_Bharat: भारत, वियतनाम साझेदारी हिंद-प्रशांत क्षेत्र में शांति में महत्वपूर्ण योगदान दे सकती है: पीएम मोदी https://t.co/vORnMBy…",2020-12-22 04:02:56,
RCbureau,"New Delhi, India","भारत के भारत -प्रशांत दृष्टिकोण में वियतनाम महत्वपूर्ण साझेदार: पीएम मोदी
https://t.co/EVOKmyRALK",2020-12-22 03:18:35,
varunsharmaca,"Jaipur, India","RT @Republic_Bharat: भारत, वियतनाम साझेदारी हिंद-प्रशांत क्षेत्र में शांति में महत्वपूर्ण योगदान दे सकती है: पीएम मोदी https://t.co/vORnMBy…",2020-12-21 22:21:02,
Dharmen77859169,India,"RT @DainikDehat: PM मोदी ने वियतनाम को भारत का महत्वपूर्ण साझेदार बताया, कहा- हिंद-प्रशांत क्षेत्र में शांति बनाना हमारा साझा उद्देश्य है h…",2020-12-21 16:50:47,
DainikDehat,"Muzaffarnagar, India","PM मोदी ने वियतनाम को भारत का महत्वपूर्ण साझेदार बताया, कहा- हिंद-प्रशांत क्षेत्र में शांति बनाना हमारा साझा उद्दे… https://t.co/xfKMHBiuoh",2020-12-21 16:44:20,
shekhvamansukh1,"Mumbai, India","RT @Republic_Bharat: भारत, वियतनाम साझेदारी हिंद-प्रशांत क्षेत्र में शांति में महत्वपूर्ण योगदान दे सकती है: पीएम मोदी https://t.co/vORnMBy…",2020-12-21 16:22:35,
MANISH37371138,India,"RT @Republic_Bharat: भारत, वियतनाम साझेदारी हिंद-प्रशांत क्षेत्र में शांति में महत्वपूर्ण योगदान दे सकती है: पीएम मोदी https://t.co/vORnMBy…",2020-12-21 16:14:32,
DC1979AD,@siliguri,हिंद-प्रशांत क्षेत्र में स्थिरता के लिए योगदान दे सकती है भारत और वियतनाम की साझेदारी: मोदी https://t.co/dEWcyihTaA… https://t.co/Wmk24MOiZF,2020-12-21 16:09:49,
RiteshS13570505,,"RT @Republic_Bharat: भारत, वियतनाम साझेदारी हिंद-प्रशांत क्षेत्र में शांति में महत्वपूर्ण योगदान दे सकती है: पीएम मोदी https://t.co/vORnMBy…",2020-12-21 16:08:08,
ThePrintHindi,"New Delhi, India","हिंद-प्रशांत क्षेत्र में स्थिरता के लिए योगदान दे सकती है भारत और वियतनाम की साझेदारी: मोदी

https://t.co/sLaVxTbhGJ",2020-12-21 16:05:00,
Bhanwar96267190,,RT @1stIndiaNews: प्रधानमंत्री नरेन्द्र मोदी ने कहा- हिंद-प्रशांत क्षेत्र में शांति में महत्वपूर्ण योगदान दे सकती है भारत-वियतनाम साझेदारी…,2020-12-21 16:02:48,
1stIndiaNews,India,प्रधानमंत्री नरेन्द्र मोदी ने कहा- हिंद-प्रशांत क्षेत्र में शांति में महत्वपूर्ण योगदान दे सकती है भारत-वियतनाम सा… https://t.co/bqLIyZSlTu,2020-12-21 16:02:01,
karunesh92,"Punjab, India","RT @Republic_Bharat: भारत, वियतनाम साझेदारी हिंद-प्रशांत क्षेत्र में शांति में महत्वपूर्ण योगदान दे सकती है: पीएम मोदी https://t.co/vORnMBy…",2020-12-21 15:59:36,
SG0095,"Gurgaon, India","RT @Republic_Bharat: भारत, वियतनाम साझेदारी हिंद-प्रशांत क्षेत्र में शांति में महत्वपूर्ण योगदान दे सकती है: पीएम मोदी https://t.co/vORnMBy…",2020-12-21 15:54:32,
Dineshk56710405,,"RT @Republic_Bharat: भारत, वियतनाम साझेदारी हिंद-प्रशांत क्षेत्र में शांति में महत्वपूर्ण योगदान दे सकती है: पीएम मोदी https://t.co/vORnMBy…",2020-12-21 15:53:35,
AtulPandit19199,"Etawah, India","RT @Republic_Bharat: भारत, वियतनाम साझेदारी हिंद-प्रशांत क्षेत्र में शांति में महत्वपूर्ण योगदान दे सकती है: पीएम मोदी https://t.co/vORnMBy…",2020-12-21 15:51:46,
MeraBharatMah,"Pashchim Muzaffarpur, India","RT @Republic_Bharat: भारत, वियतनाम साझेदारी हिंद-प्रशांत क्षेत्र में शांति में महत्वपूर्ण योगदान दे सकती है: पीएम मोदी https://t.co/vORnMBy…",2020-12-21 15:51:04,
pawanme3513,"आर्यावर्त,भारत,हिंदुस्तान","RT @Republic_Bharat: भारत, वियतनाम साझेदारी हिंद-प्रशांत क्षेत्र में शांति में महत्वपूर्ण योगदान दे सकती है: पीएम मोदी https://t.co/vORnMBy…",2020-12-21 15:48:45,
KRH85546042,"Karnataka, India","RT @Republic_Bharat: भारत, वियतनाम साझेदारी हिंद-प्रशांत क्षेत्र में शांति में महत्वपूर्ण योगदान दे सकती है: पीएम मोदी https://t.co/vORnMBy…",2020-12-21 15:47:34,
