user,location,tweet,Date,Tweet Coordinates
satishtezaa,"New Delhi, India","RT @orfhindi: क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?
 
जानें N SATHIYA MOORTHY के इस…",2020-12-22 15:26:46,
satishtezaa,"New Delhi, India","RT @orfhindi: क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?
 
जानें N SATHIYA MOORTHY के इस…",2020-12-22 15:26:19,
satishtezaa,"New Delhi, India","RT @orfhindi: क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?
 
जानें N SATHIYA MOORTHY के इस…",2020-12-22 15:25:52,
satishtezaa,"New Delhi, India","RT @orfhindi: क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?
 
जानें N SATHIYA MOORTHY के इस…",2020-12-22 15:25:24,
satishtezaa,"New Delhi, India","RT @orfhindi: क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?
 
जानें N SATHIYA MOORTHY के इस…",2020-12-22 15:24:25,
satishtezaa,"New Delhi, India","RT @orfhindi: क्या भारत को श्रीलंका की ‘इंडिया फ़र्स्ट’ की सुरक्षा नीति पर आंख मूंदकर विश्वास करना चाहिए?
 
जानें N SATHIYA MOORTHY के इस…",2020-12-22 15:22:18,
samikm_2003,"Pune, India","RT @danvir_chauhan: गौरी द्विवेदी के साथ चर्चा, इंडो-पसिफ़िक और उससे जुड़े सामरिक मुद्दों पर ....   Click कीजिए इस लिंक पर   https://t.co/n…",2020-12-20 15:16:48,
KK_Raghuwanshi,"Guna, Madhya Pradesh","RT @punjabkesari: ""Quad""  ने हिंद-प्रशांत में चीन  पर अंकुश लगाने के लिए की बैठक, शांति-स्थिरता और समृद्धि पर दिया जोर
https://t.co/IKFjK8J…",2020-12-20 00:06:03,
punjabkesari,"Jalandhar, India","""Quad""  ने हिंद-प्रशांत में चीन  पर अंकुश लगाने के लिए की बैठक, शांति-स्थिरता और समृद्धि पर दिया जोर… https://t.co/7c6K5fAc33",2020-12-19 13:46:22,
punjabkesari,"Jalandhar, India","""Quad""  ने हिंद-प्रशांत में चीन  पर अंकुश लगाने के लिए की बैठक, शांति-स्थिरता और समृद्धि पर दिया जोर… https://t.co/rD71uJ9YVc",2020-12-19 13:42:22,
punjabkesari,"Jalandhar, India","""Quad""  ने हिंद-प्रशांत में चीन  पर अंकुश लगाने के लिए की बैठक, शांति-स्थिरता और समृद्धि पर दिया जोर… https://t.co/anywNqgcXZ",2020-12-19 13:38:21,
punjabkesari,"Jalandhar, India","""Quad""  ने हिंद-प्रशांत में चीन  पर अंकुश लगाने के लिए की बैठक, शांति-स्थिरता और समृद्धि पर दिया जोर… https://t.co/2SIxfup5UE",2020-12-19 13:34:20,
punjabkesari,"Jalandhar, India","""Quad""  ने हिंद-प्रशांत में चीन  पर अंकुश लगाने के लिए की बैठक, शांति-स्थिरता और समृद्धि पर दिया जोर… https://t.co/4h2trug8tz",2020-12-19 13:30:19,
