user,location,tweet,Date,Tweet Coordinates
pikarasukaru,,RT @yymods: 目的は空母技術の売り込み？ 英国が空母クイーン･エリザベスの韓国寄港を希望 https://t.co/by9by9PiQl,2020-12-23 03:52:31,
sharkisamazing,,"・トラフザメ（全長:2〜3m 生息地:インド太平洋、サンゴ礁）
（Zebra shark
Total length:2〜3m Habitat:Indo-Pacific,coral reef) https://t.co/57jb2gJlbm",2020-12-23 03:23:51,
yymods,ゆっくりまったりの通り道 鍵垢さんは一言お声がけ下さい。,目的は空母技術の売り込み？ 英国が空母クイーン･エリザベスの韓国寄港を希望 https://t.co/by9by9PiQl,2020-12-23 00:37:46,
SakaiToshiyuki0,USA,"前首相がメダルを贈呈される…

“U.S. President Donald Trump has awarded the prestigious Legion of Merit to former Prime Minister S… https://t.co/JgSsVaHNSn",2020-12-22 20:18:38,
TargetedSince07,Rogue Cyber Terrorism State,"｢韓国主導のKF-X開発はイスラエルの軍事技術に頼り過ぎで、イスラム教徒が多いインドネシアの開発離脱原因になり、マレーシアやイラクへの輸出も難しくなる可能性｣
2020/7/2
https://t.co/5fPVvLFtgN
｢イ… https://t.co/lKsb5avghv",2020-12-22 13:04:34,
sharkisamazing,,"・トラフザメ（全長:2〜3m 生息地:インド太平洋、サンゴ礁）
（Zebra shark
Total length:2〜3m Habitat:Indo-Pacific,coral reef) https://t.co/57jb2gJlbm",2020-12-22 11:53:01,
ayLeo,神奈川県横浜市,"RT @ShinodaHideaki: なぜFOIPはFOIPでなければならないか。
次期バイデン政権のインド過小評価こそが懸念。

修飾語なんてなんでもいい、バイデンの顔色を窺いながらコロコロ変えればいい、という態度は感心しない。

インドはSCOに入っている。

https…",2020-12-22 09:31:35,
Son_Of_NIPPON,"Kobe City, Japan",🇯🇵安倍晋三には「for his leadership and vision for a free and open Indo-Pacific (自由で開かれたインド太平洋に対する彼のリーダーシップとビジョンに対して)」、🇮🇳ナレ… https://t.co/XQuHaaiTAd,2020-12-22 04:59:51,
kogoro_wakasa,,"&gt;2RTs
「Prime Minister Shinzo Abe」、「Prime Minister Abe」および「free and open Indo-Pacific」ときっちり表記。

菅義偉首相が「バイデン次期米国大統領」、… https://t.co/i8Cx7DqgWt",2020-12-22 04:58:07,
kzsigoi2416,多摩郡,"RT @ShinodaHideaki: なぜFOIPはFOIPでなければならないか。
次期バイデン政権のインド過小評価こそが懸念。

修飾語なんてなんでもいい、バイデンの顔色を窺いながらコロコロ変えればいい、という態度は感心しない。

インドはSCOに入っている。

https…",2020-12-21 14:43:58,
