user,location,tweet,Date,Tweet Coordinates
r_frojd,Sverige,"Running cheetah mpc - wbc controller and checking joints efforts with #plotjuggler 

#k3lso #quad #quadruped… https://t.co/uGfE3Kj3G6",2020-11-23 14:45:35,
uky_PTweet,"Lexington & Hazard, KY","M^2

Another great manuscript from Dr. Van Wyngaarden and team with mentor @bnoehren and colleagues from UK COM, li… https://t.co/qSwetJ8vCL",2020-11-23 14:08:36,
jppjagannath1,,RT @guha_mrittika: Yet another excellent piece of work by @jppjagannath1 arguing - “the #RAA has the capability not just to bolster bilater…,2020-11-23 12:40:14,
56perumal, tamilnadu,"RT @tfiglobal: After #Palau islands and Vietnam, #Quad is now looking to choke #China in #Maldives

#Japan, India’s strategic partner and a…",2020-11-23 12:24:49,
guha_mrittika,"New Delhi, India",Yet another excellent piece of work by @jppjagannath1 arguing - “the #RAA has the capability not just to bolster bi… https://t.co/igWv7uzMsw,2020-11-23 12:18:15,
PixelWarriorsA,,"My newest addition to the fleet! Meet the Mavic2Pro. Gave it a little test session over the weekend, can't wait to… https://t.co/T7hIr1XV6G",2020-11-23 12:18:03,
MichaelWebMason,UK,The perfect way to see the stars from the highest mountain in Spain and one of the highest observatories in the wor… https://t.co/I7UQoMLQN4,2020-11-23 12:17:52,
VivekWagh02,,RT @Meerasrini: #Maldives to receive Japanese grant to strengthen Coast Guard; It is the Maldives’s second major pact with a member of the…,2020-11-23 11:56:12,
joshuartetag,Maldives,RT @Meerasrini: #Maldives to receive Japanese grant to strengthen Coast Guard; It is the Maldives’s second major pact with a member of the…,2020-11-23 11:39:47,
IamMeMyselfMine,,RT @StylusSage: China vs Democracy | The Greatest Game | HFX-Hand book | Role of India |... https://t.co/ZyzL3dCrjP via @YouTube #China #Ha…,2020-11-23 11:37:18,
AsiriFernandoLK,Sri Lanka,Deputy Chief of the Indian Navy. #Malabar2020 #quad #IOR #IndoPacific #SriLanka https://t.co/cmgEU0spyu,2020-11-23 11:19:12,
rakeshranjankr,India,"From Middle East to Asia Pacific huge coalition r being built by countries in great geopolitics shift.

India must… https://t.co/w525WmaUSc",2020-11-23 10:52:57,
superathlete9,"Canberra, Australia",China pushing for a global QR code based travel system sends chills down my spine #auspol #ccp #china #quad #pompeo… https://t.co/xl8vwFN2Sl,2020-11-23 09:49:56,
iamshubham6060,"Kolhapur, India ","RT @tfiglobal: After #Palau islands and Vietnam, #Quad is now looking to choke #China in #Maldives

#Japan, India’s strategic partner and a…",2020-11-23 09:29:56,
IPDefenseForum,"Halawa, HI","#HMASBallarat sails in formation with @indiannavy, @jmsdf_pao_eng and @USNavy to mark the end of #ExerciseMALABAR 2… https://t.co/tY9sbY94mp",2020-11-23 09:27:00,
simranwalia10,"New Delhi, India",'The rising ties among the #Quad 2.0 members have come to play a role in their foreign policy overtures with the ex… https://t.co/JH8ZUiBx0o,2020-11-23 09:06:30,
abj7809,,"RT @tfiglobal: After #Palau islands and Vietnam, #Quad is now looking to choke #China in #Maldives

#Japan, India’s strategic partner and a…",2020-11-23 08:57:37,
tfiglobal,,"After #Palau islands and Vietnam, #Quad is now looking to choke #China in #Maldives

#Japan, India’s strategic part… https://t.co/WqTMDcibBl",2020-11-23 08:56:52,
Ranjan_zeh,,"Impact of Quad 'Diluted' by RCEP as China’s Economic Clout Recognised: Ex-Indian Foreign Secretary
#Quad #RCEP… https://t.co/IRUE56Ti9f",2020-11-23 07:09:37,
williams_neil,"Winchester, Ontario",RT @ga_richardson: #China warns it will 'poke the eyes' of #NZ and allies (the Five Eyes security network #FVEY). How NZ PM @jacindaardern…,2020-11-23 06:35:59,
FakeFelipee,"Diamond Bar, CA",I love my tr3 for some reason #Tre #Quad @_tellezzz https://t.co/H61xrjzaeU,2020-11-23 06:06:06,
TruComFor1,,@PaulKagame @NEPAD_Agency @KingSalman #G20 #G20Summit #IPAC #NATO #QUAD #QUAD4 #SupremeCourt #holdchinaaccountable… https://t.co/9zgu6IpCk7,2020-11-23 05:33:41,
15thCole,"Pennsylvania, USA","#merch #availablesoon :))
posting via my
@Spotify @tiktok_us 
@QUAD4Ent #four #quad 
#fifteenth #cole 
15th cole X… https://t.co/xHETJjaKfA",2020-11-23 04:49:16,
GGPonnambalam,Jaffna,RT @IPDefenseForum: Malabar exercise of ‘Quad’ concludes with clear message for China #Malabar2020 #Malabar #Quad https://t.co/ADDwYfaNZn v…,2020-11-23 04:20:43,
DrKapilksharma1,"Jammu, Jammu And Kashmir","#Pakistan #quad extending its stranglehold in Indian Ocean region. 
#Maldives signed https://t.co/BY9N2wncS3 with U… https://t.co/4srQw2lqjL",2020-11-23 04:19:19,
Sharad__IND,"Maharashtra, India",RT @Meerasrini: #Maldives to receive Japanese grant to strengthen Coast Guard; It is the Maldives’s second major pact with a member of the…,2020-11-23 04:16:32,
IPDefenseForum,"Halawa, HI",Malabar exercise of ‘Quad’ concludes with clear message for China #Malabar2020 #Malabar #Quad https://t.co/ADDwYfaNZn via @timesofindia,2020-11-23 03:57:00,
StylusSage,,China vs Democracy | The Greatest Game | HFX-Hand book | Role of India |... https://t.co/ZyzL3dCrjP via @YouTube… https://t.co/BjBmEcEEfD,2020-11-23 03:31:51,
arzandc,,RT @Meerasrini: #Maldives to receive Japanese grant to strengthen Coast Guard; It is the Maldives’s second major pact with a member of the…,2020-11-23 03:14:27,
Dasthageer99,"Telangana , India ",RT @Meerasrini: #Maldives to receive Japanese grant to strengthen Coast Guard; It is the Maldives’s second major pact with a member of the…,2020-11-23 03:08:43,
