user,location,tweet,Date,Tweet Coordinates
AmarUjalaNews,India,"मलाबार वारगेम्स ने दिखाया चारों प्रतिभागी देशों का असाधारण सैन्य कौशल : नौसेना

#MalabarWargames
#IndianNavy 
#QUAD… https://t.co/ahDaSWAwpE",2020-11-22 01:30:00,
IndianPippal,,@WIONews दक्षिण चीन सागर और पूर्वी चीन सागर में चीन के जुझारूपन और बढ़ते प्रभाव का मुकाबला करने के लिए #Quad के सद… https://t.co/AxRA9yIf7Q,2020-11-19 17:52:09,
IndiaNews_itv,Delhi,"7 Months of India-China Tension: QUAD की ताकत से घबराया चीन, सरहद पर सेना की सबसे मजबूत तैयारी #IndiaNews… https://t.co/JdUHRChDUO",2020-11-19 09:16:13,
bra_brijesh,Meerut,"RT @TV9Bharatvarsh: मालाबार एक्सरसाइज से चीन की हालात खराब...देखिए फुल &amp; फाइनल
#MalabarWarExercise | #China | #QUAD | #LoC | @nishantchat |…",2020-11-19 00:09:56,
Balkish99059568,,"RT @TV9Bharatvarsh: मालाबार एक्सरसाइज से चीन की हालात खराब...देखिए फुल &amp; फाइनल
#MalabarWarExercise | #China | #QUAD | #LoC | @nishantchat |…",2020-11-18 14:14:36,
Goswami92shivam,"Gwalior, India","चतुर्भुज सुरक्षा संवाद (क्यूएसडी, जिसे क्वाड के रूप में भी जाना जाता है) संयुक्त राज्य अमेरिका, जापान, ऑस्ट्रेलिया … https://t.co/WSYY8ey7rp",2020-11-18 07:03:52,
Chanakyaoffice,Union Republic of HINDUSTAN ,"RT @TV9Bharatvarsh: चीनी तानाशाह कांप रहा है...क्वाड की ताकत भांप रहा है ...देखिए परवाह देश की
#China | #QUAD | #LoC | #PoK | #LAC | #Ameri…",2020-11-18 02:02:49,
RAMPRAS02820477,,"RT @TV9Bharatvarsh: चीनी तानाशाह कांप रहा है...क्वाड की ताकत भांप रहा है ...देखिए परवाह देश की
#China | #QUAD | #LoC | #PoK | #LAC | #Ameri…",2020-11-18 01:16:18,
ProfKapilKumar,New Delhi,"RT @TV9Bharatvarsh: मालाबार एक्सरसाइज से चीन की हालात खराब...देखिए फुल &amp; फाइनल
#MalabarWarExercise | #China | #QUAD | #LoC | @nishantchat |…",2020-11-17 19:19:00,
sumairakh,"noida, new delhi","RT @TV9Bharatvarsh: चीनी तानाशाह कांप रहा है...क्वाड की ताकत भांप रहा है ...देखिए परवाह देश की
#China | #QUAD | #LoC | #PoK | #LAC | #Ameri…",2020-11-17 19:11:33,
wwajahat5,,"RT @TV9Bharatvarsh: चीनी तानाशाह कांप रहा है...क्वाड की ताकत भांप रहा है ...देखिए परवाह देश की
#China | #QUAD | #LoC | #PoK | #LAC | #Ameri…",2020-11-17 18:16:20,
TV9Bharatvarsh,"Noida, India","चीनी तानाशाह कांप रहा है...क्वाड की ताकत भांप रहा है ...देखिए परवाह देश की
#China | #QUAD | #LoC | #PoK | #LAC |… https://t.co/IKyEeFQ4OQ",2020-11-17 17:39:54,
TrulyJha,"New Delhi, India","RT @TV9Bharatvarsh: मालाबार एक्सरसाइज से चीन की हालात खराब...देखिए फुल &amp; फाइनल
#MalabarWarExercise | #China | #QUAD | #LoC | @nishantchat |…",2020-11-17 16:04:54,
nishantchat,"New Delhi, India","RT @TV9Bharatvarsh: मालाबार एक्सरसाइज से चीन की हालात खराब...देखिए फुल &amp; फाइनल
#MalabarWarExercise | #China | #QUAD | #LoC | @nishantchat |…",2020-11-17 15:46:15,
Chanakyaoffice,Union Republic of HINDUSTAN ,"RT @TV9Bharatvarsh: मालाबार एक्सरसाइज से चीन की हालात खराब...देखिए फुल &amp; फाइनल
#MalabarWarExercise | #China | #QUAD | #LoC | @nishantchat |…",2020-11-17 11:55:00,
LegendNewsin,India,#QUAD देशों की नौसेनाओं के नेवल एक्सरसाइज मालाबार का दूसरा चरण अरब सागर में शुरू #MalbarPhase2 #NavalExercise… https://t.co/fcDjXbLlRR,2020-11-17 11:48:58,
rameshagrawal95,india,"RT @TV9Bharatvarsh: मालाबार एक्सरसाइज से चीन की हालात खराब...देखिए फुल &amp; फाइनल
#MalabarWarExercise | #China | #QUAD | #LoC | @nishantchat |…",2020-11-17 11:28:06,
SN_IGNOU,"Kadipur, Sultanpur UP ","RT @TV9Bharatvarsh: मालाबार एक्सरसाइज से चीन की हालात खराब...देखिए फुल &amp; फाइनल
#MalabarWarExercise | #China | #QUAD | #LoC | @nishantchat |…",2020-11-17 11:25:53,
TV9Bharatvarsh,"Noida, India","मालाबार एक्सरसाइज से चीन की हालात खराब...देखिए फुल &amp; फाइनल
#MalabarWarExercise | #China | #QUAD | #LoC |… https://t.co/Fbbcf15hsn",2020-11-17 11:24:37,
