user,location,tweet,Date,Tweet Coordinates
akshrivastwa,,"कॉरपोरेट_मिशनरी🙄🤔😡😡

बहुत ही ज्वलंत और चिंताजनक मुद्दा है यह।

क्या आप जानते है भारत में सबसे बड़ा कॉर्पोरेट कौन है… https://t.co/c7YEywdTCo",2020-11-26 13:11:31,
Himnshu2074,India,"@SachinDC18 @TheShudra @LokeshPoojaUkey Gawar Jaahil......
Pehle jaakar padho ki love jihad term sabse pehle kisne… https://t.co/AuIrx2RmGT",2020-11-26 03:24:42,
MisharArvind,,"@ShinoNoharani Gandhi ji kabhi Malabar par koi dukh jataye the??
Bas Modi ji Wahi tustikaran ko majbuti se aage badha rahe hai.",2020-11-25 08:32:49,
1967Anil,"Noida, Uttar Pradesh",RT @USAHindiMein: .@State_SCA: #Malabar 2020 की मेज़बानी के लिए भारत को धन्यवाद। चारों नौसेनाओं को सुखद और सुरक्षित यात्रा की शुभकामनाएं! #…,2020-11-24 16:05:27,
KK_Raghuwanshi,"Guna, Madhya Pradesh",RT @USAHindiMein: .@State_SCA: #Malabar 2020 की मेज़बानी के लिए भारत को धन्यवाद। चारों नौसेनाओं को सुखद और सुरक्षित यात्रा की शुभकामनाएं! #…,2020-11-24 16:02:31,
USAHindiMein,,.@State_SCA: #Malabar 2020 की मेज़बानी के लिए भारत को धन्यवाद। चारों नौसेनाओं को सुखद और सुरक्षित यात्रा की शुभकाम… https://t.co/R1yEYtPAsn,2020-11-24 16:01:05,
kevinfebrian,"Bogor ,Indonesia",Malabar haiyuuuuukkk https://t.co/6mBDqv3fCR,2020-11-24 08:46:58,
dwerdorr,Buitenzorg,@txtdrbogor anj malabar,2020-11-24 08:27:07,
Shraddhayoga14,India,"RT @utkarsh__4: इस लिंक पर देख सकते हैं।
https://t.co/NUe4ry6HzU

उसके द्वारा चित्रित दूसरी एक महिला पुरुष को देख सकते हैं
https://t.co/DAR…",2020-11-23 09:04:14,
AadarshAzad,प्रयागराज और लखनऊ🇮🇳,"RT @utkarsh__4: इस लिंक पर देख सकते हैं।
https://t.co/NUe4ry6HzU

उसके द्वारा चित्रित दूसरी एक महिला पुरुष को देख सकते हैं
https://t.co/DAR…",2020-11-23 06:25:27,
QuintHindi,India,"#Kerala | कैथोलिक लड़की और मुस्लिम लड़के की शादी के बाद हुए बवाल को देखते हुए चर्च ने लिया फैसला
https://t.co/JjDvSfdga5",2020-11-23 04:53:28,
1puneetpandey,,"RT @utkarsh__4: इस लिंक पर देख सकते हैं।
https://t.co/NUe4ry6HzU

उसके द्वारा चित्रित दूसरी एक महिला पुरुष को देख सकते हैं
https://t.co/DAR…",2020-11-23 03:46:51,
utkarsh__4,,"इस लिंक पर देख सकते हैं।
https://t.co/NUe4ry6HzU

उसके द्वारा चित्रित दूसरी एक महिला पुरुष को देख सकते हैं… https://t.co/sICtpwp1QG",2020-11-23 03:23:36,
manmanojman,"मालवीय नगर, Jaipur","RT @TV9Bharatvarsh: #Kerala में शादी के लिए धर्म बदलने को लेकर चर्च बना रहा नियम, पादरी करवाएंगे सख्ती से पालन
#MarriageRules

https://t.co…",2020-11-23 02:54:19,
