user,location,tweet,Date,Tweet Coordinates
trend_words_jp,,戸郷 菊池 同点 ホームラン 広島 https://t.co/t0TJGZ6HVz 【流速:116.4ツイート/分】,2020-11-03 08:10:46,
trend_words_jp,,[長期] 国立 https://t.co/IZ8JdP9eFb 【流速:30.8ツイート/分】,2020-11-03 08:10:45,
trend_words_jp,,挨拶シャッフル https://t.co/v7ZYodrrVT 【流速:75.3ツイート/分】,2020-11-03 08:10:44,
trend_words_jp,,虹 https://t.co/FehYDVXpl9 【流速:97.5ツイート/分】,2020-11-03 08:10:43,
trend_words_jp,,リス https://t.co/YZ6QlVj0vx 【流速:46.0ツイート/分】,2020-11-03 07:09:47,
trend_words_jp,,[長期] #アラフェス2020 #嵐の日 #ARASHI https://t.co/DaO7er6bsD 【流速:769.3ツイート/分】,2020-11-03 07:09:46,
trend_words_jp,,国立競技場 一生 価値 https://t.co/Svt01e014K 【流速:96.5ツイート/分】,2020-11-03 07:09:45,
trend_words_jp,,#食感に驚くプリンなチーズケーキ プリン!?なチーズ https://t.co/6BSBTp6gew 【流速:18.0ツイート/分】,2020-11-03 06:02:20,
trend_words_jp,,アラフェス https://t.co/DGVnMRvhGU 【流速:15.2ツイート/分】,2020-11-03 06:02:19,
trend_words_jp,,カレー https://t.co/vQEtlDIoBF 【流速:22.1ツイート/分】,2020-11-03 06:02:18,
trend_words_jp,,マウスシールド逆なの https://t.co/FHM3UJWjIW 【流速:50.9ツイート/分】,2020-11-03 04:53:25,
trend_words_jp,,[長期] 相葉すごろく https://t.co/lYRin1zqRP 【流速:44.9ツイート/分】,2020-11-03 04:53:24,
trend_words_jp,,[長期] #アラフェス2020 #嵐 #ARASHI #生配信だョ嵐会 https://t.co/pZIgVUX93N 【流速:89.8ツイート/分】,2020-11-03 04:53:23,
trend_words_jp,,フワ潤 翔くん お米炊いたことない メイド https://t.co/M67ofJeQRV 【流速:106.2ツイート/分】,2020-11-03 04:53:22,
favourite_words,,運命がボクを追いかけるくらいに　清潔な衝動に正直でいたいんだ　【Search the best way/ポルノグラフィティ】,2020-11-03 04:41:45,
trend_words_jp,,松本潤 https://t.co/LZ6pDZms3f 【流速:40.0ツイート/分】,2020-11-03 03:51:05,
trend_words_jp,,[長期] #アラフェス2020 #嵐 #ARASHIsDAY https://t.co/MqNT0dNZbR 【流速:169.3ツイート/分】,2020-11-03 03:51:04,
trend_words_jp,,相葉すごろく https://t.co/lYRin1zqRP 【流速:85.6ツイート/分】,2020-11-03 03:51:03,
trend_words_jp,,フワ潤 フワちゃん ちゃんの呪い お化け https://t.co/eup5A7xMe7 【流速:187.5ツイート/分】,2020-11-03 03:51:02,
trend_words_jp,,[長期] アツギ 炎上 依頼 批判 https://t.co/WTSQgKeSql 【流速:34.6ツイート/分】,2020-11-03 02:55:12,
trend_words_jp,,#アラフェス2020 #嵐の日 準備 #あ_ら_し #A_RA_SHI あー https://t.co/m6cXuUDkZf 【流速:189.7ツイート/分】,2020-11-03 02:55:11,
trend_words_jp,,[長期] 性的搾取 性的消費 男性 女性 https://t.co/963MVoli9H 【流速:54.0ツイート/分】,2020-11-03 02:55:10,
trend_words_jp,,[長期] #ファミマの新感覚チーズケーキ #味に驚くショコラチーズケーキ #食感に驚くプリンなチーズケーキ プリン!?なチーズケーキ https://t.co/4tRxzPtGvq 【流速:80.3ツイート/分】,2020-11-03 02:55:09,
trend_words_jp,,[長期] 祝日 休み https://t.co/D52Q6DsnD2 【流速:82.0ツイート/分】,2020-11-03 01:41:13,
trend_words_jp,,アツギ 炎上 広告 タイツ https://t.co/NTI2reqIVK 【流速:239.6ツイート/分】,2020-11-03 01:41:12,
trend_words_jp,,[長期] 性的消費 性的搾取 向け 男性 女性 https://t.co/J3xya9KZQH 【流速:88.3ツイート/分】,2020-11-03 01:41:11,
trend_words_jp,,#ファミマの新感覚チーズケーキ #味に驚くショコラチーズケーキ #食感に驚くプリンなチーズケーキ プリン!?なチーズケーキ https://t.co/rHDxFCdk9O 【流速:174.0ツイート/分】,2020-11-03 01:41:10,
SR_Nico_TAMA,,"「 #なび東京 」さんに於ける「二子玉川」での検索結果。(^_^)v↓
https://t.co/3pDPs89jwW",2020-11-03 00:51:03,
favourite_words,,未来まで待ちぶせしてしまうくらいに　光のにおい　する方　走って行くんだ　【Search the best way/ポルノグラフィティ】,2020-11-03 00:41:43,
trend_words_jp,,[長期] 文化の日 https://t.co/DBMK6ApqYB 【流速:80.6ツイート/分】,2020-11-03 00:17:51,
trend_words_jp,,火曜 一方 ラジオ https://t.co/jX9g9jlogZ 【流速:22.2ツイート/分】,2020-11-03 00:17:50,
trend_words_jp,,[長期] #めざましテレビ最年少プレゼンター #JO1豆原一成 豆ちゃん ダンス スッキリ https://t.co/2za7Gap4j2 【流速:17.1ツイート/分】,2020-11-03 00:17:49,
trend_words_jp,,性的消費 性的搾取 エロ https://t.co/cSbb4xfCok 【流速:70.5ツイート/分】,2020-11-03 00:17:48,
