user,location,tweet,Date,Tweet Coordinates
hickoryhill8520,"Texas, USA","Acquire wisdom! Acquire understanding! Do not forget nor turn away from the words of my mouth.
Proverbs 4:5 - https://t.co/8KTCZ57QGq",2020-11-04 18:27:56,
hickoryhill8520,"Texas, USA","He taught me and said to me, “Let your heart take hold of my words; Keep my commandments and live;
Proverbs 4:4 - https://t.co/LNCKl4uBkK",2020-11-04 18:27:51,
EtNamedHuman,she/her,"if you open the dictionary and search for the words ""ignorance"" and ""stupidity"" you'll find this video lmao https://t.co/LFnfW5K5lW",2020-11-04 18:26:52,
In__Search,,@deshpremi_ @Anti_Congressi Pls keep sanity with the words,2020-11-04 18:22:36,
Gumachine1,,Sometimes I feel like the random bold words one a google search... useless. https://t.co/wTWr0rnVt7,2020-11-04 18:15:47,
anthonyrpryor,,"@FinsUpSailor @Justin_Ling https://t.co/1A7Vtp6hWr 
Man, typing words into a search bar is hard.",2020-11-04 18:14:37,
Mss_Mina,"Montclair, CA",@mamaakc @dakandbri_ I literally search for your tweets for words of wisdom and positivity just about every day on this bird app🐦✨,2020-11-04 18:13:16,
barbielimbs,"Brooklyn, NY",i still have to search up some words just in case my definition of them are wrong and that’s on english not being ur first language,2020-11-04 18:10:24,
EXB014," 20.816760, -100.662976","@AKIMBOHAMMER @Harinama @FlatbushNYC_USA @mfk_og @wdunlap @realDonaldTrump @tpn1968 In other words, “I’m going to b… https://t.co/oYvtTZO6HP",2020-11-04 18:03:35,
protectsjeno,protectsjeno@gmail.com,"Follow the GIF below.  Please make sure not to search the tagged words [do not ruin the searches], search the accou… https://t.co/1zRtTZOxs3",2020-11-04 18:02:52,
CORPSEDlOR,phantomhive manor,"@zipzapcatboi ldkjfkdjkdj moot gain lmao ,, just put in key words in the search hit latest and follow people",2020-11-04 17:56:02,
PJBraley,,"Remembering Bob Considine’s birthday with empathic vanity as I, too, search for the ""winged word that just fits.""… https://t.co/MODbNuYXXG",2020-11-04 17:55:51,
joml76,,@Lu_CanyonMoon @TheMilannsDiary @cordirez I'm not going to do the traditional thread of examples because that ampli… https://t.co/Ov8wRMI51I,2020-11-04 17:54:37,
DiscoDeerDiary,"Boston, MA","When it gets warm again I'm gonna search my tweets for the words ""air conditioner"" then find the above tweet, then… https://t.co/YiSAmjLcXF",2020-11-04 17:50:47,
