user,location,tweet,Date,Tweet Coordinates
Kofiredman,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 21:11:29,
sherleessse,🇹🇹🇨🇭,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 21:09:35,
CorreiaZoe,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 21:06:48,
malikiyaasabi,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 21:06:27,
racqzonracqz,Trinidad,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 21:02:44,
chris_brooker21,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 21:01:26,
Thackoriez,,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 21:01:25,
lachlanbar,,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 21:00:15,
erron_8lack,Trinidad and Tobago🇹🇹,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 20:58:59,
mesharkkkk,,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 20:58:14,
seiya_Seegulam,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 20:56:16,
TayChung,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 20:55:29,
sriniscool,,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 20:48:28,
playhawttt,,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 20:47:04,
ItsYaGirlIfeyi,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 20:46:07,
shannonamandaaa,,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 20:44:28,
sabrinaaalisha,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 20:43:31,
FathomsOne,"Wollongong, New South Wales",RT @AusHCIndia: A salute from Australia to all the brave men and women of the @indiannavy on #NavyDay2020. Thank you for hosting the Exerci…,2020-12-04 20:42:51,
dana_michele_,,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 20:42:04,
YolaOni,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 20:41:07,
klinch14,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 20:39:33,
danajmo,,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 20:38:39,
migsssfrommars,mars,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 20:38:27,
stefaniepriya,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 20:37:38,
ManpreetEditor,London,"RT @asianbooklist: @zoeannewest Hi Zoe, some brilliant paperbacks out in March:
Truth Be Told by @KiaAbdullah 
Midnight at Malabar House by…",2020-12-04 20:37:25,
Rajthilak841,,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 20:36:57,
SigmaKushWaffle,"East Lansing, MI","RT @LunaOi_VN: Today I'm gonna introduce you to my classic Vietnamese meal: thit rang (EJ calls it ""Vietnamese crunchy bacons""), fried pean…",2020-12-04 20:36:32,
