user,location,tweet,Date,Tweet Coordinates
Kofiredman,Trinidad and Tobago,"RT @leahmariealyssa: Selina Paraboo (15) of Malabar Road.
Last seen: 28th October,2020 https://t.co/9gapdojjst",2020-12-04 21:11:29,
sriniscool,,"RT @_ugra_: Atrocities commited by barbarian tipoo against Brahmins in Malabar.

Brahmins who were often forced by british to act as messen…",2020-12-04 20:48:28,
FathomsOne,"Wollongong, New South Wales",RT @AusHCIndia: A salute from Australia to all the brave men and women of the @indiannavy on #NavyDay2020. Thank you for hosting the Exerci…,2020-12-04 20:42:51,
ManpreetEditor,London,"RT @asianbooklist: @zoeannewest Hi Zoe, some brilliant paperbacks out in March:
Truth Be Told by @KiaAbdullah 
Midnight at Malabar House by…",2020-12-04 20:37:25,
SigmaKushWaffle,"East Lansing, MI","RT @LunaOi_VN: Today I'm gonna introduce you to my classic Vietnamese meal: thit rang (EJ calls it ""Vietnamese crunchy bacons""), fried pean…",2020-12-04 20:36:32,
DanJack45260569,"Florida, USA","RT @SurfaceWarriors: Ahoy there! ⚓️⚓
-
-
Commanding officer Cmdr. Andrew Koy, from Bellville, Texas, and Sailors assigned to the guided-mis…",2020-12-04 20:30:19,
Sam__011992,"Shimoga, India",Why can’t we get more tunnels on Hubballi-Ankola railway line and get the long pending railway construction done ju… https://t.co/96s3nxr8IJ,2020-12-04 20:24:07,
snoggymack,"New Castle, DE",@Malabar_Bucolic @ChuckCallesto Fake news. Trust Chuck!,2020-12-04 20:21:54,
Telugutalli,,"RT @_ugra_: After force feeding 2000 Nairs with beef &amp; converting them, tipoo went on to murder the Raja of Chirakkal. He followed this up…",2020-12-04 20:21:47,
Malabar_Bucolic,,@snoggymack @ChuckCallesto Please stop spreading propaganda.,2020-12-04 20:21:22,
Malabar_Bucolic,,"@snoggymack @ChuckCallesto There was not a glitch in Dominion sw, Nancy Pelosi’s husband does not own stock in Domi… https://t.co/BDPr1tKQDV",2020-12-04 20:21:02,
Malabar_Bucolic,,"@ryansnyder39 @Steve71506664 @ChuckCallesto There was not a glitch in Dominion sw , Nancy Pelosi’s husband does not… https://t.co/zBYJ9kHfRR",2020-12-04 20:19:38,
KamalGu98567908,"Jaipur, India","RT @IndiaAheadNews: On behalf of the US Mission in India, a very happy #NavyDay to @indiannavy. We thank you for hosting the US, Japan, &amp; A…",2020-12-04 20:16:30,
AsiaMTI,"Washington, DC",This year's Exercise Malabar saw the participation of Australia for the first time since 2007. @rupakj explains wha… https://t.co/3idX7s6k9I,2020-12-04 20:00:01,
AnubhavvvJain,"Sharjah, United Arab Emirates",RT @AusHCIndia: “The undeniable success of Malabar this year helps to tell a broader story - that 🇦🇺🇮🇳🇯🇵🇺🇸 are working together quadrilater…,2020-12-04 19:57:22,
earth2maegen,she/her,@jaasmineeem oh no okay nvm go back to blaming port malabar! lmao,2020-12-04 19:55:30,
VanessaRiley61,Australia,"@MelodyMac51 The recent approval of India to let Australia to join naval exercises was a sign.
 The navies of India… https://t.co/JOWGBJdKW3",2020-12-04 19:31:20,
snoggymack,"New Castle, DE",@Malabar_Bucolic @ChuckCallesto @chuckcallesto is merely providing the same proof the president and his legal team… https://t.co/5I87RVFtCY,2020-12-04 19:20:35,
Malabar_Bucolic,,"@snoggymack @ChuckCallesto Considering this motley crew doesn’t have a voting machine, you are spreading propaganda.",2020-12-04 19:17:58,
ryansnyder39,Ohio,@Malabar_Bucolic @Steve71506664 @ChuckCallesto Colonel Waldron’s team was given access to one Dominion machine in Antrim County Michigan.,2020-12-04 19:17:36,
Malabar_Bucolic,,@ryansnyder39 @Steve71506664 @ChuckCallesto One big problem - they didn’t  acquire a voting machine.,2020-12-04 19:16:10,
GauravR_Mishra,India,"Striking a balance after Malabar, India holds exercise with Russia | India News – Times of India https://t.co/1JRcOTgPrJ",2020-12-04 19:15:29,
petermei,,"RT @USAmbIndia: On behalf of the U.S. Mission in India, a very happy #NavyDay to @IndianNavy.  We thank you for hosting the U.S., Japan, an…",2020-12-04 19:14:17,
cate_long,New York,"@scottwongDC @jonathanvswan McCrystal made no mention of Asia Quad? ""Warships &amp; aircraft from four “Quad” nations,… https://t.co/zBtjdZTfln",2020-12-04 19:12:20,
JodieVanExel,,It’s really a mf dat stay in Malabar dat gotta Zebra 😩,2020-12-04 19:11:49,
purpgoddess313,"Detroit, MI","RT @blkhomesteader: (Malabar spinach) - ""If you think you are too small to make a difference, you haven't spent a night with a mosquito"" ht…",2020-12-04 19:04:00,
Shortwalkme,,"How do you like the view?

'A fusion of cultures, a blend of styles and flavors. Go for an adventurous cocktail fro… https://t.co/5DylDn7Lxr",2020-12-04 19:00:16,
Malabar_Bucolic,,@SpeakerPelosi There is no vaccine and we don’t have a new president. Don’t cave.,2020-12-04 18:57:35,
Malabar_Bucolic,,@Timodc @newsmax The commercial segments are delightful.,2020-12-04 18:53:51,
Malabar_Bucolic,,@brian_granoff @JosephPatrice The first problem with your tweet is that Rick is not interested in debate based on this appearance.,2020-12-04 18:45:39,
_ugra_,Bharatavarsha,"After force feeding 2000 Nairs with beef &amp; converting them, tipoo went on to murder the Raja of Chirakkal. He follo… https://t.co/mVkhX3oAzC",2020-12-04 18:41:02,
Vats_26,,"RT @rajatpTOI: Striking a balance after #Malabar with #Quad, India conducts naval exercise with Russia! https://t.co/xRw63VNkvb",2020-12-04 18:22:57,
