user,location,tweet,Date,Tweet Coordinates
iowahawkblog,ATX / CHI,"Now here's another 1963 Chevy Impala with the requisite hubcaps to be an SS model, and just possibly Dad saved his… https://t.co/pphhNrv7uJ",2020-12-06 16:52:56,
QUAD_JONAS," ""we will prosper mightily""","@JibbaJabb @DmitryOpines They have an endless worthless supply of ""sovereignty"" to support business
#BrexitReality",2020-12-06 16:52:45,
QUAD_JONAS," ""we will prosper mightily""","They have an endless worthless supply of ""sovereignty"" to support business
#BrexitReality https://t.co/QlFXhoV2j3",2020-12-06 16:52:27,
AndyBurroughs,,@53istheMike1 @RapSheet @NFLGameDay Ya no doubt. . . I'm not trying to whatever. . . But I broke 9 ribs and 3 were… https://t.co/I2bvoVdl2N,2020-12-06 16:52:15,
SiAlexander5,,@cjamesauthor @DaddyWashburn @skinpupmart @DreamerInthe @muscleaddict99 @reeddune @spikepup93 @muscleworshipuk… https://t.co/XcGbxjqGRJ,2020-12-06 16:52:03,
fusedotcore,"Antwerp, Belgium","Who needs real time lighting when you've got billboard shadows!

It's a simple quad that will snap to the floor wit… https://t.co/PTxR3dbQZP",2020-12-06 16:51:43,
Welshmusclefan,Swansea,@cjamesauthor @SiAlexander5 @DaddyWashburn @skinpupmart @DreamerInthe @muscleaddict99 @reeddune @spikepup93… https://t.co/ACs915pSaQ,2020-12-06 16:50:57,
YouEnvyMe_,Australia,"imagine the all singles, all no scopes quad feed into triple collat🤯#ColdWar https://t.co/LvPEbjOshu",2020-12-06 16:49:56,
_MAmanda__,,@Tokyo_Quad_ Absolutely,2020-12-06 16:49:49,
caspers_,,@FIamesZ_ @oReallyG they’re based of montaging as in the “classic” montaging not the type you guys do... no disresp… https://t.co/uhIGj54aGG,2020-12-06 16:49:39,
courtneyzum,probably eating,"@JohnMerin0 triple or a quad over ice, 1 pump white choc, 1 pump peppermint 😚",2020-12-06 16:49:38,
oxstrongj,,@quad_uk I want to map every vein with my tongue.,2020-12-06 16:49:30,
StevenGGlickman,Washington DC,RT @QuadPartnership: Congrats to the Quad team who wrapped up their work with @CityofCOS studying strategies around #OpportunityZones! They…,2020-12-06 16:49:12,
revlow,Cambridge,@oldenoughtosay There was an episode of Inspector Lynley where one of the suspects described seeing another charact… https://t.co/zuphpi9NaG,2020-12-06 16:49:11,
BakerLindorchub,,RT @ACLrecoveryCLUB: 3 weeks removed from ACL surgery &amp; @obj is working on getting that quad to fire! 🦵🔥 https://t.co/kAOLynEvtL,2020-12-06 16:48:46,
DidymusBrush,"Manchester, UK",I don't know why I never made this connection but I was today years old when I realised Broadway legend… https://t.co/ri3T2ui0TT,2020-12-06 16:48:46,
bestmobile_24,,"Nokia lovers, let us introduce you to a new beast today under the name Nokia N2 Edge Pro 2021 with

👉12GB RAM, 
👉Qu… https://t.co/OIDdsPZv8m",2020-12-06 16:48:10,
quad_damage_,"Alberta, Canada","RT @FSouchu: Poom is out now on @itchio
By @fsouchu and @gamecactus
https://t.co/KlfEMQzsbd

#pico8 #doom #gamedev https://t.co/CT3wZcDxHI",2020-12-06 16:48:09,
OccyCdstravels,Lancs,"@PantyhoseReviv1 Quad outfit envy...

P.s Raiiiiiiiiiiiiiders. 😋",2020-12-06 16:47:19,
olympicseimei,she/her | 18 | In my own dream,@3Lz3Lo2Lo quad salchow snake,2020-12-06 16:45:28,
JikissGamer,,This weekend I'm gonna make a second attempt at getting my high-end Windows XP computer going. I have another AMD P… https://t.co/9o7T5TWslF,2020-12-06 16:45:22,
WayoffPiss,,RT @JusCoolin850: People keep forgetting it was considered a degenerative issue at one point with his quad,2020-12-06 16:44:49,
fexig_,Austria,RT @by_lmk: Quad feed TDM HC ... https://t.co/tkGvTWBbkw,2020-12-06 16:44:32,
QUAD_JONAS," ""we will prosper mightily""","@annanderson2012 @mac_puck My apologies, I had no intention of being patronising.",2020-12-06 16:43:04,
eastland09,Coronation Ab  🇨🇦 ,@tara_m_davidson Wilson or Merritt tri axle. either or.Don’t get a quad it’s dead weight with the tag axle unless y… https://t.co/cV7LPQPEem,2020-12-06 16:43:03,
19nbla,,"RT @granblue_en: The preview for the Demon Slayer collab event has been updated!

The event characters are all FOUR members of the Demon Sl…",2020-12-06 16:41:32,
revlow,Cambridge,"@oldenoughtosay Ahem! 'Court', not 'quad' ...",2020-12-06 16:41:08,
kafle_sushant,Nepal,@NickEh30 @SypherPK @mrfreshasian @lazarbeam dream quad,2020-12-06 16:40:25,
bestmobile_24,,"Today, we are bringing you the update on one new Nokia beast with a stunning design and high-end specs dubbed Nokia… https://t.co/v7O0iK2qMZ",2020-12-06 16:40:17,
TheKidneyDocto1,AKHAND BHARAT (India) 🇮🇳 ,@REHAAN1111 But Biden is anti-Russia. QUAD can also add France.,2020-12-06 16:39:54,
roundyuzuru,,Happy Birthday Yuzuru. Wish you all the best in the world and a quad axel landed in competition with goe +5 in age 26 ❤️ ❤️ ❤️,2020-12-06 16:39:51,
lexthegreatt_,"Bronx, NY",RT @Original_Gio: Kawhi window is closing sooner that his age would imply due to that quad?,2020-12-06 16:39:51,
TerrellChuggs,The Seaboard. ,@BarbershopPod He never had a quad double tho,2020-12-06 16:39:39,
thatcharmingliz,Lost Somewhere in the Midwest,"@annajanemtg @quad_9s @LeojPies Yes! @quad_9s Milo is very posh! I ever voiced Milo, they would sound like Taako from TAZ.",2020-12-06 16:39:34,
mortonnCOD,United Kingdom,Me and @AaronnnnnG need two for quad 8kd cap customs £10 to enter 5 games it’s like £150/200 for a win each game in… https://t.co/abSnGrQP20,2020-12-06 16:38:10,
VGgameroleplays,over the rainbow,@OMBYouTube Fun fact: technically I don't need this and technically I do but it'd be better if I don't use it due to quad 64-,2020-12-06 16:37:44,
SamsekKitty,BTS UNIVERSE,Translate loves (B)ig (T)its (S)quad https://t.co/1jTNlAYyji,2020-12-06 16:37:27,
annajanemtg,"Pennsylvania, USA","@quad_9s @thatcharmingliz @LeojPies Idk nothing beats your Milo 

I’m still smitten 😍",2020-12-06 16:37:10,
darthsouthpaw,"east lansing, mi",@Sherlake quad grande iced americano or a venti green iced tea with three pumps of peppermint instead of liquid cane,2020-12-06 16:36:22,
CKM11,243 🇨🇩,"RT @dribblecity: Kawhi tried to downplay it as I don't think he wanted everyone to find out so he said publicly that he was ""healthy"", whil…",2020-12-06 16:36:11,
nmcholakov,Bulgaria,RT @dennisl: FTW! Indulged in lobster rolls and clam chowder using a check from a class action lawsuit. Got a free quad venti latte from St…,2020-12-06 16:36:04,
JusCoolin850,,People keep forgetting it was considered a degenerative issue at one point with his quad https://t.co/lHO35IeNW8,2020-12-06 16:36:02,
newc88,"Indiana, USA","RT @KBowen1070: #Colts inactives:

P-Rigoberto Sanchez (illness)
S-Khari Willis (back, quad)
LB-Bobby Okereke (ankle)
LT-Anthony Castonzo (…",2020-12-06 16:35:36,
WayoffPiss,,@itsJustDe22 He’s sitting out bc he HAS to. That quad is done,2020-12-06 16:35:13,
aguilarstephhh,,But Luis was like i heard you mention you haven’t drank your pumpkin quad drink in a while so she got that for you 🥺😭❤️,2020-12-06 16:35:07,
AdamWebsterUK,"Dudley, England",@tersmo1 @Quad_Banger Don't get a crisp sandwich and a chip butty confused though guys.  https://t.co/zZRkx8Lg1E,2020-12-06 16:34:23,
