user,location,tweet,Date,Tweet Coordinates
Han_raha,,RT @BonnieGlaser: UK to send aircraft carrier strike group to waters near Japan - Nikkei Asia https://t.co/R0GRvBYB0Q,2020-12-06 17:38:44,
NikkeiAsia,Tokyo,"VYING FOR AFRICA | Foreign Minister Motegi seeks to build on support for a ""free and open Indo-Pacific"" while empha… https://t.co/rncAzqpVvY",2020-12-06 17:36:48,
P3t3kLt,,RT @thackfish: This tiny zebra is found only in one lake in Sulawesi. Mugilogobius species are scattered all around the streams and mangrov…,2020-12-06 17:21:38,
Sylarius,"Putrajaya, Wilayah Persekutuan",RT @intelfeedia: The British Navy will send a aircraft carrier strike group to waters near #Japan early next year. The rare development sig…,2020-12-06 17:20:36,
ABranger_wife,JAPAN,RT @PACAF: B-1s have arrived from Ellsworth Air Force Base as a part of our latest Bomber Task Force deployed to the Indo-Pacific region. #…,2020-12-06 17:19:35,
jsnyder555,,"RT @NikkeiAsia: INDO-PACIFIC | THE BRITISH ARE COMING
U.K.'s Royal Navy is said to be planning a rare excursion to the Western Pacific in e…",2020-12-06 17:18:48,
ImranAliBajwa1,"Karachi, Pakistan","RT @carin__fischer: Please watch this!

""The annual defense bill establishes a program to strengthen the US’s posture and alliances in the…",2020-12-06 17:17:25,
mtanichthys,,RT @thackfish: This tiny zebra is found only in one lake in Sulawesi. Mugilogobius species are scattered all around the streams and mangrov…,2020-12-06 17:17:03,
q24hpexHeqpCUvm,,"RT @IndoPac_Info: #IndoPacific | THE #BRITISH ARE COMING

#UK's Royal Navy is said to be planning a rare excursion to the Western Pacific i…",2020-12-06 17:14:12,
msbmsbmsbms,unknown ,"RT @carin__fischer: Please watch this!

""The annual defense bill establishes a program to strengthen the US’s posture and alliances in the…",2020-12-06 17:12:43,
MoshehNBC,"Washington, DC","Acting @DeptofDefense Secretary Christopher Miller arrives in Jakarta, Indonesia.  During this trip he’ll also visi… https://t.co/s1Vsxs8prX",2020-12-06 17:12:09,
Zulsyafiq_Z,Malaysia,RT @intelfeedia: The British Navy will send a aircraft carrier strike group to waters near #Japan early next year. The rare development sig…,2020-12-06 17:10:56,
Mark45dominic,,RT @intelfeedia: The British Navy will send a aircraft carrier strike group to waters near #Japan early next year. The rare development sig…,2020-12-06 17:10:26,
carin__fischer,"Washington, DC","Please watch this!

""The annual defense bill establishes a program to strengthen the US’s posture and alliances in… https://t.co/ypesUKjUnt",2020-12-06 17:10:21,
Eraksti,Latvia,RT @intelfeedia: The British Navy will send a aircraft carrier strike group to waters near #Japan early next year. The rare development sig…,2020-12-06 17:10:08,
mayuu_98,"Kyoto , Japan ",RT @nktpnd: UK to send aircraft carrier strike group to waters near Japan  https://t.co/6gxrJQiEPg,2020-12-06 17:08:42,
ramakant9090,"Bengaluru, India",RT @nktpnd: UK to send aircraft carrier strike group to waters near Japan  https://t.co/6gxrJQiEPg,2020-12-06 17:06:35,
