user,location,tweet,Date,Tweet Coordinates
SURENDR61773605,,"FCC पर दिखा नोकिया 5.4 का पूरा डिजाइन, इसमें क्वाड-रियर कैमरा और गूगल असिस्टेंट का डेडिकेटेड बटन मिलेगा… https://t.co/TSVuxSzYeg",2020-12-06 08:04:24,
QUad_R_ANgle,///りがくぶ・くりかえす・ふじまめ ←一言メッセージ,hiruneshitai,2020-12-06 04:30:35,
bgrhindi,Mumbai,"#Nokia5.4 फोन 4 बैक कैमरा, डेडिकेटिड गूगल असिस्टेंट बटन के साथ US FCC लिस्टिंग पर स्पॉट @NokiamobileIN 
https://t.co/bURrrpyXkI",2020-12-05 11:11:57,
thelivmint0,New Delhi,"FCC पर दिखा नोकिया 5.4 का पूरा डिजाइन, इसमें क्वाड-रियर कैमरा और गूगल असिस्टेंट का डेडिकेटेड बटन मिलेगा… https://t.co/CxyQVevE6r",2020-12-05 10:07:06,
RakeshRokade9,,"https://t.co/Tu5F4BDWI5 FCC पर दिखा नोकिया 5.4 का पूरा डिजाइन, इसमें क्वाड-रियर कैमरा और गूगल असिस्टेंट का डेडिकेटे… https://t.co/d1B3cVJp6F",2020-12-05 09:40:07,
NavbharatTimes,"Delhi, India","RT @NbtTech: Nokia 5.4 के स्पेसिफिकेशन्स का खुलासा, इसमें होंगे 4 रियर कैमरे  https://t.co/PMDU1GMHCe https://t.co/xSjh6Wr7VT",2020-12-05 09:39:38,
NbtTech,,"Nokia 5.4 के स्पेसिफिकेशन्स का खुलासा, इसमें होंगे 4 रियर कैमरे  https://t.co/PMDU1GMHCe https://t.co/xSjh6Wr7VT",2020-12-05 09:39:25,
_abhishekagni,"Kanpur, India",@sarwankumarjan6 @Jetha_Live Australia ko kahe gariyayenge.....vo apna dost h is samay...Quad group me bhi hai....t… https://t.co/28CiVtzRxZ,2020-12-04 16:27:38,
apkaakhbar,India,RT @apkaakhbar: क्वाड और भारत की भूमिका : चीन को लगी मिर्ची https://t.co/Cd4pEawCDk,2020-12-04 16:01:02,
zeesalaamtweet,"Delhi, india","Indian Navy Day 2020 : वैश्विक महाशक्ति बनने के लिए हिंद महासागर में दबदबा बनाना चाहता है चीन! ये है वजह

https://t.co/355BRj9Goi",2020-12-04 13:55:52,
ChowaPt,,"RT @ndtvindia: Tecno Pova फोन 6,000 एमएएच बैटरी के साथ लॉन्च, कीमत 9,999 रुपये से शुरू
https://t.co/UHKLLObW1k",2020-12-04 10:32:09,
ndtvindia,New Delhi,"Tecno Pova फोन 6,000 एमएएच बैटरी के साथ लॉन्च, कीमत 9,999 रुपये से शुरू
https://t.co/UHKLLObW1k",2020-12-04 10:22:16,
GadgetsHindi,,"Tecno Pova फोन 6,000 एमएएच बैटरी के साथ लॉन्च, कीमत 9,999 रुपये से शुरू
https://t.co/qGjIW9yAoi",2020-12-04 10:22:12,
Calvin_Hobbes7,,"RT @jagranhitech: पावरफुल बैटरी और क्वाड रियर कैमरे के साथ Tecno Pova हुआ लॉन्च, जानिए कीमत और स्पेसिफिकेशन्स

#Technology  

https://t.co/…",2020-12-04 09:05:03,
jagranhitech,"New Delhi, India","पावरफुल बैटरी और क्वाड रियर कैमरे के साथ Tecno Pova हुआ लॉन्च, जानिए कीमत और स्पेसिफिकेशन्स

#Technology  

https://t.co/vl5ub2GCPg",2020-12-04 09:05:00,
DigitHindi,,"48MP क्वाड कैमरा और बड़ी डिस्प्ले के साथ लॉन्च हुआ Infinix Zero 8i
                                 https://t.co/hoe0U69Fj6",2020-12-04 07:09:38,
satishtezaa,"New Delhi, India","RT @orfhindi: क्या हिंद-प्रशांत क्षेत्र में चीन की बढ़ती आक्रामकता दुनिया के लोकतांत्रिक देशों के लिए एक चुनौती बन रही है?
इसका मुकाबला…",2020-12-04 07:05:33,
apkaakhbar,India,क्वाड और भारत की भूमिका : चीन को लगी मिर्ची https://t.co/Cd4pEawCDk,2020-12-04 06:39:19,
gadgetkesari,"Jalandhar, India","डुअल सैल्फी कैमरे वाला Infinix Zero 8i स्मार्टफोन भारत में हुआ लॉन्च, जानें कीमत और स्पैसिफिकेशन्स… https://t.co/cviMkdl2hs",2020-12-03 12:10:04,
WebduniaHindi,"Indore, India",Infinix ने गुरुवार को भारतीय बाजार में Zero 8i स्मार्टफोन लॉन्च कर दिया। Infinix Zero 8i को सिंगल वैरिएंटमें बाजार… https://t.co/UinPbAQqcL,2020-12-03 11:52:39,
thelivmint0,New Delhi,"इंफिनिक्स जीरो 8i लॉन्च, मिलेंगे वीडियो रिंगटोन जैसे इंटरेस्टिंग फीचर; जानिए कीमत से लेकर ऑफर्स तक सबकुछ… https://t.co/BYB3rNLcHl",2020-12-03 10:07:26,
RakeshRokade9,,"https://t.co/ZcurSBnD3Z इंफिनिक्स जीरो 8i लॉन्च, मिलेंगे वीडियो रिंगटोन जैसे इंटरेस्टिंग फीचर; जानिए कीमत से लेकर ऑ… https://t.co/se3USeBqQc",2020-12-03 08:40:18,
satishtezaa,"New Delhi, India","RT @orfhindi: क्या हिंद-प्रशांत क्षेत्र में चीन की बढ़ती आक्रामकता दुनिया के लोकतांत्रिक देशों के लिए एक चुनौती बन रही है?
इसका मुकाबला…",2020-12-03 04:44:26,
satishtezaa,"New Delhi, India","RT @orfhindi: क्या हिंद-प्रशांत क्षेत्र में चीन की बढ़ती आक्रामकता दुनिया के लोकतांत्रिक देशों के लिए एक चुनौती बन रही है?
इसका मुकाबला…",2020-12-03 04:26:56,
satishtezaa,"New Delhi, India","RT @orfhindi: क्या हिंद-प्रशांत क्षेत्र में चीन की बढ़ती आक्रामकता दुनिया के लोकतांत्रिक देशों के लिए एक चुनौती बन रही है?
इसका मुकाबला…",2020-12-03 04:24:28,
Quad_Cities,"The Shoals, Alabama",Sandra Kaye Horton Bunch https://t.co/X6GYclPt9R  #shoals #alabama #una #huntsville #madison #franklin #decatur,2020-12-02 12:32:25,
satishtezaa,"New Delhi, India","RT @orfhindi: क्या हिंद-प्रशांत क्षेत्र में चीन की बढ़ती आक्रामकता दुनिया के लोकतांत्रिक देशों के लिए एक चुनौती बन रही है?
इसका मुकाबला…",2020-12-02 07:01:43,
