user,location,tweet,Date,Tweet Coordinates
bkz_heart,9割がた家,QUAD LOCK冷静に考えて高すぎなのでREC MOUNTに統一していく方針にした,2020-12-06 17:13:39,
quad_bot,広島,許されないことは分かっていた 【鏡のまえで】,2020-12-06 17:13:10,
gage_sis_PC,お兄ちゃんの使ってる自作鯖管理室,クアッドコアCPU搭載って言うだけのCM見てお兄ちゃんは笑うけどnative Quad Coreとかニコイチとか言われたPhenomやC2Qの気持ち考えたことあるの？Are you native？,2020-12-06 17:03:55,
hato_hqtohl_,,デカイクリップを1クリップ取るよりポンポンQuad取れるようになりたい,2020-12-06 17:00:29,
baystars15,日本国,"RT @Sankei_news: 「日米豪印はパートナー」仏海軍参謀総長単独インタビュー　 
https://t.co/3KVnAPyQzm 

中国の脅威をにらんだ日米豪印４カ国の連携枠組み「ＱＵＡＤ（クアッド＝英語で４の意味）」との共同訓練に参加すると述べ、インド太平洋地域…",2020-12-06 16:47:12,
yuk1dqma_quad,クアホしか勝たん♡,@nana_roku731_sb それな,2020-12-06 16:45:23,
obleson,,"RT @Sankei_news: 「日米豪印はパートナー」仏海軍参謀総長単独インタビュー　 
https://t.co/3KVnAPyQzm 

中国の脅威をにらんだ日米豪印４カ国の連携枠組み「ＱＵＡＤ（クアッド＝英語で４の意味）」との共同訓練に参加すると述べ、インド太平洋地域…",2020-12-06 16:45:03,
ta_skate_quad,ｽｹｵﾀ歴12年,"RT @risa_kihiraa: #羽生結弦の誕生日祝えたやっほーい
改めて、お誕生日おめでとうございます🎉🎉🎉🎉🎉
26歳の羽生くんはどんな演技を見せてくれますか？？全日本も新プロもとっても楽しみです！
今年も、たくさんの笑顔と金メダルを掲げた羽生くんを見られますように✨✨…",2020-12-06 16:42:51,
yuk1dqma_quad,クアホしか勝たん♡,"てか愚痴言う垢ミスったわ
別にいいけど",2020-12-06 16:39:26,
yuk1dqma_quad,クアホしか勝たん♡,@yurina__cha うんありがとう,2020-12-06 16:39:05,
yuk1dqma_quad,クアホしか勝たん♡,"リグマ@3
今萎え萎えなので誰か遊びましょ",2020-12-06 16:38:02,
TETORAPOTTO98,伊達家領内,"@Zildjian_Quad 半衿可愛い〜
帯揚げあの時のだね！",2020-12-06 16:29:00,
yuk1dqma_quad,クアホしか勝たん♡,@yurina__cha ふつうにやばい,2020-12-06 16:26:48,
cb4649,,#バーチャルキャスト 用のロケーション（vci）にたくさんのイラストを配置する場合、全てのイラストをMaterialにしてQuadに割り当ててアス比調整してという作業が必要っぽい？もっとスマートな方法はないのだろうか……,2020-12-06 16:21:05,
yuk1dqma_quad,クアホしか勝たん♡,"ローラーの子相手きついのに頑張って戦ってくれてたから普通に申し訳ない。キルレも割ってないし...。
もっとキル寄りに立ち回るべきやったかな...🤔",2020-12-06 16:20:49,
yuk1dqma_quad,クアホしか勝たん♡,"@yurina__cha タチウオ
味方僕より塗ってないです😊 https://t.co/dTcKZYwXdI",2020-12-06 16:19:38,
taoroid,,"RT @MichitoTsuruoka: French navy chief: its engagement in Asia is a strategic message to China.

先日来日の仏海軍参謀長インタビュー。アジアでの共同訓練等は中国へのメッセージと明言。…",2020-12-06 16:18:27,
yuk1dqma_quad,クアホしか勝たん♡,"RASって名前にしてからAIMめっちゃいいんやけど味方運まじで壊滅級なんやけど
実力も編成もねぇ😢
相手リッターで味方ロラ クゲでどう勝つん？96に関しては何してん？😅",2020-12-06 16:17:26,
yuk1dqma_quad,クアホしか勝たん♡,これはがちうまい #Splatoon2 #スプラトゥーン2 #NintendoSwitch https://t.co/ksCydSOugo,2020-12-06 16:15:14,
yuk1dqma_quad,クアホしか勝たん♡,@kispl_ －28されたんでやめます,2020-12-06 16:13:31,
yuk1dqma_quad,クアホしか勝たん♡,"－28やーめた
エリアも塗れない雑魚味方くんな😅
クアホにキルも塗りもまけせるとかやばいぞ😅",2020-12-06 16:13:19,
Suraito_jp,,"Quad Feed 3
？？？「いやはるか恋しい～」
#BOCW https://t.co/6e8QU9apFH",2020-12-06 16:12:24,
Enfield__,,"RT @MichiToyama: 「日米豪印はパートナー」仏海軍参謀総長単独インタビュー
&gt;国の脅威をにらんだ日米豪印４カ国の連携枠組み「ＱＵＡＤ（クアッド＝英語で４の意味）」との共同訓練に参加
&gt;「来年５月に無人島で実施する予定」
https://t.co/1RIfV39g0…",2020-12-06 16:10:35,
Suraito_jp,,"Quad Feed 2 
試合開始直後の出来事
？？？「皆殺しだぁ」
#BOCW https://t.co/VKFXfvxkvk",2020-12-06 16:10:16,
kispl_,,@yuk1dqma_quad 負けたら降格させられてるれべるやん,2020-12-06 16:07:06,
yuk1dqma_quad,クアホしか勝たん♡,ブースト込+4はやばい,2020-12-06 16:05:49,
ta_skate_quad,ｽｹｵﾀ歴12年,おめでとう。(何度目) https://t.co/Z2AQT1dlz3,2020-12-06 16:05:29,
kwtdesu,,物置に眠ってたCPU･･･。core 2 quad Q6600、i7-950。いつのだよ。950でけぇし！ｗ https://t.co/1hmWVE13F8,2020-12-06 16:03:50,
quad_syrup,金を食す国→ぶぶ漬け食わす国→首都→→→草食わされる国,"RT @Sponichi_Editor: 🎉２０２０年１２月７日🎉

フィギュアスケート
#羽生結弦 選手
２６歳のバースデーです🎂

スポニチ７日付は全国共通で羽生選手の特別紙面を掲載しておりますので、ぜひチェックしてみてください。

#HBDtoY
#Happy26thBi…",2020-12-06 16:01:44,
quad_syrup,金を食す国→ぶぶ漬け食わす国→首都→→→草食わされる国,"RT @sponichiannex: 【🎂今日の #誕生日 特別編🎂】
本日12月7日は #羽生結弦 選手の誕生日です🎉
おめでとうございます🎊

#スポニチフォト から羽生選手の試合と練習時のワンシーンをお届け📷

こんな方も誕生日▶https://t.co/QugEdLzC…",2020-12-06 15:59:52,
quad_syrup,金を食す国→ぶぶ漬け食わす国→首都→→→草食わされる国,RT @SponichiF: #羽生結弦 26歳に　理想の未来信じて https://t.co/ssPxBKe6uS,2020-12-06 15:59:20,
quad_syrup,金を食す国→ぶぶ漬け食わす国→首都→→→草食わされる国,"RT @Vnagar_juna: ゆづおめでとう！🎉

試合を終えたので寝ます。。
ありがとうございましたm(_ _)m",2020-12-06 15:59:04,
quad_syrup,金を食す国→ぶぶ漬け食わす国→首都→→→草食わされる国,RT @_happybirthday: 12月7日が誕生日の著名人：与謝野晶子、森下洋子、Tom Waits、岡千秋、古舘伊知郎、森博嗣、寺田克也、菊地英昭、尾美としのり、香川照之、伊藤かずえ、走裕介、いしだ壱成、松尾諭、鈴木拓、市川寛子、宮本笑里、桜田通、羽生結弦、藤咲彩音、…,2020-12-06 15:58:46,
ta_skate_quad,ｽｹｵﾀ歴12年,"とりあえずインスタにも載せたけど結論はこれ。
羽生さん。まじで本当にいつもありがとうございます。大好きです。これからも応援させてください。 https://t.co/ttKVfPtu9Z",2020-12-06 15:58:18,
ta_skate_quad,ｽｹｵﾀ歴12年,"RT @na_yyh: 羽生くんに                               結局辿り
伝えたいたいこと                     着く所 https://t.co/Ug62ESedD4",2020-12-06 15:57:29,
quad_syrup,金を食す国→ぶぶ漬け食わす国→首都→→→草食わされる国,"RT @spreadsports_jp: #羽生結弦選手、お誕生日おめでとうございます！
#アスリートの素顔を伝える メディアとして、これまでの #羽生結弦 記事をまとめてみました。
https://t.co/2G68TtDPU6
#羽生結弦誕生祭2020 
#羽生結弦誕生祭2…",2020-12-06 15:54:45,
quad_syrup,金を食す国→ぶぶ漬け食わす国→首都→→→草食わされる国,".*･ﾟ･*.ℍ𝕒𝕡𝕡𝕪 𝔹𝕚𝕣𝕥𝕙𝕕𝕒𝕪 .*･ﾟ･*.

見えぬけれども、きっと幸せで
見えぬけれども、きっと元気で
見えぬけれども、色々試行錯誤して
見えぬけれども、色々悩んだりして
見えぬけれども、応援しています
お誕生日… https://t.co/sOK590vi5k",2020-12-06 15:51:59,
quad_syrup,金を食す国→ぶぶ漬け食わす国→首都→→→草食わされる国,"RT @aim_high__: 羽生結弦26歳に　理想の未来信じて― スポニチ Sponichi Annex スポーツ 
26歳になっても、理想を追う姿は不変に違いない。揺るぎない信念の先に、世界を明るく照らす演技は待つ。（大和弘明、杉本亮輔）
https://t.co/l1x…",2020-12-06 15:50:34,
